wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777709911.6539,0.0000,0,0,POST,8.000,0.0000,0,9.942,0.0000,0.00,50.000,-0.240,0.000,0.0000,0,0.000,16.00,0.0,0.211,0.508,9.863
1777709911.6739,0.0200,1,0,ACTIVE,8.000,0.0000,512,0.000,4.0000,50.00,50.000,11.580,0.640,0.0780,-64,-0.019,16.00,0.0,0.268,0.498,9.787
1777709911.6938,0.0400,1,0,ACTIVE,8.000,0.0000,512,0.000,4.0000,50.00,50.000,49.390,3.650,0.0890,-1096,-0.318,15.90,0.0,0.268,0.498,9.787
1777709911.7138,0.0600,1,0,ACTIVE,8.000,0.0000,512,0.000,3.9714,50.00,50.000,48.590,4.070,0.1140,-1676,-0.486,15.90,0.0,1.307,0.670,9.346
1777709911.7339,0.0800,1,0,ACTIVE,8.000,0.0000,512,0.000,3.9562,50.00,50.000,48.610,4.800,0.1290,-2460,-0.714,16.00,0.0,7.120,1.240,11.362
1777709911.7538,0.1000,1,0,ACTIVE,8.000,0.0000,512,0.000,3.9358,50.00,50.000,49.530,5.340,0.1340,-3185,-0.924,15.90,0.0,5.760,0.555,9.423
1777709911.7738,0.1200,1,0,ACTIVE,8.000,0.0000,512,0.000,3.9169,50.00,50.000,49.360,5.850,0.1460,-3963,-1.150,15.90,0.0,6.038,0.177,8.705
1777709911.7938,0.1400,1,0,ACTIVE,8.000,0.0000,512,0.000,3.8965,50.00,50.000,48.880,6.230,0.1640,-4742,-1.375,15.90,0.0,6.205,0.900,10.543
1777709911.8138,0.1600,1,0,ACTIVE,8.000,0.0000,512,0.000,3.8762,50.00,50.000,48.980,6.880,0.1750,-5581,-1.619,15.90,0.0,6.569,0.383,9.480
1777709911.8338,0.1800,1,0,ACTIVE,8.000,0.0000,512,0.000,3.8543,50.00,50.000,49.580,7.370,0.1820,-6374,-1.849,15.90,0.0,6.880,0.479,9.907
1777709911.8537,0.2000,1,0,ACTIVE,8.000,0.0000,512,0.000,3.8336,50.00,50.000,48.860,7.800,0.2000,-7201,-2.089,15.90,0.0,6.014,0.982,9.959
1777709911.8738,0.2200,1,0,ACTIVE,8.000,0.0000,512,0.000,3.8120,50.00,50.000,48.840,8.500,0.2130,-8108,-2.352,15.80,0.0,6.062,0.436,8.978
1777709911.8937,0.2400,1,0,ACTIVE,8.000,0.0000,512,0.000,3.7883,50.00,50.000,49.220,9.000,0.2260,-8964,-2.600,15.80,0.0,6.062,0.436,8.978
1777709911.9137,0.2600,1,0,ACTIVE,8.000,0.0000,512,0.000,3.7660,50.00,50.000,49.190,9.590,0.2350,-9842,-2.855,15.80,0.0,6.033,0.536,10.591
1777709911.9337,0.2800,1,0,ACTIVE,8.000,0.0000,512,0.000,3.7431,50.00,50.000,49.620,10.100,0.2460,-10677,-3.097,15.80,0.0,6.287,0.833,9.490
1777709911.9537,0.3000,1,0,ACTIVE,8.000,0.0000,512,0.000,3.7213,50.00,50.000,48.400,10.400,0.2640,-11532,-3.345,15.80,0.0,6.287,0.833,9.490
1777709911.9737,0.3200,1,0,ACTIVE,8.000,0.0000,512,0.000,3.6990,50.00,50.000,49.000,11.360,0.2780,-12524,-3.633,15.80,0.0,5.099,0.354,10.433
1777709911.9937,0.3400,1,0,ACTIVE,8.000,0.0000,512,0.000,3.6731,50.00,50.000,49.140,11.930,0.2940,-13481,-3.910,15.80,0.0,5.233,-0.110,7.058
1777709912.0138,0.3600,1,0,ACTIVE,8.000,0.0000,512,0.000,3.6481,50.00,50.000,49.030,12.500,0.3070,-14433,-4.186,15.80,0.0,6.435,1.159,9.485
1777709912.0337,0.3800,1,0,ACTIVE,8.000,0.0000,512,0.000,3.6232,50.00,50.000,48.730,13.040,0.3240,-15416,-4.472,15.80,0.0,4.779,0.776,10.165
1777709912.0537,0.4000,1,0,ACTIVE,8.000,0.0000,512,0.000,3.5976,50.00,50.000,48.750,13.780,0.3430,-16450,-4.772,15.70,0.0,5.636,0.302,9.193
1777709912.0737,0.4200,1,0,ACTIVE,8.000,0.0000,512,0.000,3.5706,50.00,50.000,49.390,14.590,0.3510,-17455,-5.063,15.70,0.0,5.636,0.302,9.193
1777709912.0937,0.4400,1,0,ACTIVE,8.000,0.0000,512,0.000,3.5443,50.00,50.000,48.790,14.960,0.3700,-18466,-5.356,15.70,0.0,5.272,0.527,10.151
1777709912.1137,0.4600,1,0,ACTIVE,8.000,0.0000,512,0.000,3.5179,50.00,50.000,48.770,15.710,0.3880,-19500,-5.656,15.70,0.0,5.947,0.565,9.763
