wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777710316.6339,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,0.000,0.000,0.0000,0,0.000,15.80,0.0,0.244,0.441,9.863
1777710316.6538,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,0.070,0.000,0.0000,0,0.000,15.80,0.0,0.249,0.431,9.892
1777710316.6737,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,0.240,0.000,0.0000,0,0.000,15.80,0.0,0.249,0.431,9.892
1777710316.6937,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,15.780,0.670,0.0650,-163,-0.047,15.80,0.0,0.259,0.436,9.887
1777710316.7138,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,20.030,1.100,0.1190,156,0.045,15.80,0.0,3.146,0.474,9.614
1777710316.7338,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,60.320,4.590,0.0830,-419,-0.122,15.80,0.0,8.384,1.317,9.437
1777710316.7538,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,59.210,3.950,0.0870,-630,-0.183,15.70,0.0,7.833,0.330,11.199
1777710316.7737,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,62.150,4.730,0.1020,-924,-0.268,15.80,0.0,8.140,0.479,9.605
1777710316.7937,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,61.080,5.130,0.1050,-1349,-0.391,15.70,0.0,8.427,0.709,9.610
1777710316.8137,0.0000,0,0,POST,8.000,0.0000,0,11.289,0.0000,0.00,55.000,61.480,5.590,0.1160,-1784,-0.517,15.70,0.0,8.427,0.709,9.610
