wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777710114.8937,0.0020,1,0,ACTIVE,8.000,0.0000,512,0.000,5.0000,60.00,60.000,13.160,0.930,0.1060,-13,-0.004,15.90,0.0,0.278,0.493,9.887
1777710114.9138,0.0220,1,0,ACTIVE,8.000,0.0000,512,0.000,5.0000,60.00,60.000,62.890,5.010,0.0790,-929,-0.269,15.80,0.0,4.391,1.034,9.198
1777710114.9337,0.0420,1,0,ACTIVE,8.000,0.0000,512,0.000,5.0000,60.00,60.000,59.350,3.820,0.0850,-940,-0.273,15.90,0.0,4.391,1.034,9.198
1777710114.9537,0.0620,1,0,ACTIVE,8.000,0.0000,512,0.000,5.0000,60.00,60.000,59.360,4.270,0.0930,-1144,-0.332,15.80,0.0,6.790,0.919,10.754
1777710114.9737,0.0820,1,0,ACTIVE,8.000,0.0000,512,0.000,4.9701,60.00,60.000,59.360,4.270,0.0930,-1144,-0.332,15.80,0.0,8.432,0.393,9.188
1777710114.9937,0.1020,1,0,ACTIVE,8.000,0.0000,512,0.000,4.9627,60.00,60.000,59.420,5.170,0.1090,-1813,-0.526,15.90,0.0,8.058,0.603,9.844
1777710115.0137,0.1220,1,0,ACTIVE,8.000,0.0000,512,0.000,4.9527,60.00,60.000,59.230,5.680,0.1210,-2296,-0.666,15.80,0.0,7.733,0.421,9.744
1777710115.0338,0.1420,1,0,ACTIVE,8.000,0.0000,512,0.000,4.9401,60.00,60.000,59.320,6.050,0.1320,-2777,-0.806,15.80,0.0,8.049,0.709,9.600
1777710115.0538,0.1620,1,0,ACTIVE,8.000,0.0000,512,0.000,4.9275,60.00,60.000,59.460,6.660,0.1380,-3339,-0.969,15.80,0.0,7.489,0.613,10.127
1777710115.0737,0.1820,1,0,ACTIVE,8.000,0.0000,512,0.000,4.9128,60.00,60.000,59.530,6.980,0.1420,-3844,-1.115,15.80,0.0,8.240,0.723,9.222
1777710115.0937,0.2020,1,0,ACTIVE,8.000,0.0000,512,0.000,4.8997,60.00,60.000,59.330,7.510,0.1530,-4422,-1.283,15.80,0.0,7.675,1.159,10.285
1777710115.1137,0.2220,1,0,ACTIVE,8.000,0.0000,512,0.000,4.8846,60.00,60.000,59.120,7.950,0.1670,-5032,-1.460,15.80,0.0,7.560,1.264,10.261
1777710115.1338,0.2420,1,0,ACTIVE,8.000,0.0000,512,0.000,4.8686,60.00,60.000,59.520,8.340,0.1740,-5584,-1.620,15.80,0.0,7.709,0.407,8.398
1777710115.1537,0.2620,1,0,ACTIVE,8.000,0.0000,512,0.000,4.8542,60.00,60.000,59.250,8.830,0.1840,-6191,-1.796,15.80,0.0,7.848,0.369,10.247
1777710115.1738,0.2820,1,0,ACTIVE,8.000,0.0000,512,0.000,4.8384,60.00,60.000,59.430,9.360,0.1910,-6807,-1.974,15.70,0.0,7.800,-0.057,6.670
1777710115.1937,0.3020,1,0,ACTIVE,8.000,0.0000,512,0.000,4.8223,60.00,60.000,59.350,9.790,0.2010,-7417,-2.151,15.70,0.0,7.517,0.488,9.179
1777710115.2137,0.3220,1,0,ACTIVE,8.000,0.0000,512,0.000,4.8064,60.00,60.000,59.500,10.140,0.2080,-7985,-2.316,15.70,0.0,7.517,0.488,9.179
1777710115.2337,0.3420,1,0,ACTIVE,8.000,0.0000,512,0.000,4.7915,60.00,60.000,59.070,10.670,0.2190,-8616,-2.499,15.70,0.0,7.503,0.991,12.363
1777710115.2537,0.3620,1,0,ACTIVE,8.000,0.0000,512,0.000,4.7751,60.00,60.000,59.850,11.280,0.2200,-9233,-2.678,15.70,0.0,7.417,0.795,9.720
1777710115.2737,0.3820,1,0,ACTIVE,8.000,0.0000,512,0.000,4.7590,60.00,60.000,58.960,11.360,0.2390,-9806,-2.844,15.70,0.0,7.924,0.761,9.777
1777710115.2937,0.4020,1,0,ACTIVE,8.000,0.0000,512,0.000,4.7440,60.00,60.000,59.060,12.240,0.2500,-10509,-3.048,15.70,0.0,6.177,-0.129,9.739
1777710115.3137,0.4220,1,0,ACTIVE,8.000,0.0000,512,0.000,4.7257,60.00,60.000,60.130,12.450,0.2510,-11017,-3.196,15.70,0.0,8.183,0.733,6.225
1777710115.3337,0.4420,1,0,ACTIVE,8.000,0.0000,512,0.000,4.7124,60.00,60.000,58.780,12.910,0.2690,-11675,-3.386,15.70,0.0,8.542,0.603,12.846
1777710115.3537,0.4620,1,0,ACTIVE,8.000,0.0000,512,0.000,4.6952,60.00,60.000,59.770,13.810,0.2720,-12364,-3.586,15.70,0.0,6.248,0.651,8.944
1777710115.3737,0.4820,1,0,ACTIVE,8.000,0.0000,512,0.000,4.6772,60.00,60.000,59.360,13.630,0.2810,-12865,-3.732,15.70,0.0,8.561,0.689,6.363
1777710115.3938,0.5020,1,0,ACTIVE,8.000,0.0000,512,0.000,4.6642,60.00,60.000,59.490,14.660,0.2880,-13563,-3.934,15.60,0.0,7.153,0.929,13.589
1777710115.4138,0.5220,1,0,ACTIVE,8.000,0.0000,512,0.000,4.6459,60.00,60.000,59.750,14.520,0.2940,-14019,-4.066,15.60,0.0,7.196,0.417,14.484
1777710115.4337,0.5420,1,0,ACTIVE,8.000,0.0000,512,0.000,4.6340,60.00,60.000,58.870,15.270,0.3080,-14687,-4.260,15.60,0.0,7.196,0.417,14.484
1777710115.4538,0.5620,1,0,ACTIVE,8.000,0.0000,512,0.000,4.6166,60.00,60.000,59.460,15.690,0.3180,-15274,-4.430,15.60,0.0,7.374,0.555,5.521
