wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777704687.0902,0.0050,1,0,ACTIVE,8.000,0.0000,512,0.000,2.0000,30.00,30.000,0.000,0.000,0.0000,0,0.000,16.80,0.0,0.139,0.546,9.863
1777704687.1102,0.0250,1,0,ACTIVE,8.000,0.0000,512,0.000,2.0000,30.00,30.000,18.690,0.730,0.0680,-252,-0.073,16.70,0.0,0.144,0.666,9.840
1777704687.1302,0.0450,1,0,ACTIVE,8.000,0.0000,512,0.000,1.9680,30.00,30.000,27.300,1.830,0.0960,-1226,-0.356,16.70,0.0,-0.014,0.397,9.811
1777704687.1502,0.0650,1,0,ACTIVE,8.000,0.0000,512,0.000,1.9265,30.00,30.000,25.790,2.810,0.1530,-2817,-0.817,16.70,0.0,1.034,0.541,9.796
1777704687.1702,0.0850,1,0,ACTIVE,8.000,0.0000,512,0.000,1.8737,30.00,30.000,31.340,3.580,0.1970,-4837,-1.403,16.70,0.0,-0.182,0.498,10.299
1777704687.1902,0.1050,1,0,ACTIVE,8.000,0.0000,512,0.000,1.8148,30.00,30.000,29.810,4.680,0.2330,-7095,-2.058,16.70,0.0,-0.038,0.249,10.419
1777704687.2102,0.1250,1,0,ACTIVE,8.000,0.0000,512,0.000,1.7502,30.00,30.000,27.230,5.780,0.2800,-9569,-2.776,16.60,0.0,-0.086,0.699,9.902
1777704687.2302,0.1450,1,0,ACTIVE,8.000,0.0000,512,0.000,1.6796,30.00,30.000,26.640,6.800,0.3250,-12274,-3.560,16.60,0.0,-0.067,0.397,10.261
1777704687.2502,0.1660,1,0,ACTIVE,8.000,0.0000,512,0.000,1.6051,30.00,30.000,26.700,7.840,0.3700,-15128,-4.388,16.60,0.0,-0.158,1.398,10.452
1777704687.2702,0.1850,1,0,ACTIVE,8.000,0.0000,512,0.000,1.5275,30.00,30.000,26.860,8.940,0.4120,-18101,-5.250,16.60,0.0,-0.134,0.412,10.007
1777704687.2902,0.2050,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4495,30.00,30.000,27.190,10.060,0.4520,-21087,-6.117,16.50,0.0,-0.086,0.096,10.112
1777704687.3102,0.2250,1,0,ACTIVE,8.000,0.0000,512,0.000,1.3699,30.00,30.000,26.960,11.020,0.4970,-24135,-7.001,16.50,0.0,0.321,0.340,9.739
1777704687.3302,0.2450,1,0,ACTIVE,8.000,0.0000,512,0.000,1.2899,30.00,30.000,26.930,11.980,0.5400,-27201,-7.890,16.50,0.0,0.321,0.915,9.672
1777704687.3502,0.2650,1,0,ACTIVE,8.000,0.0000,512,0.000,1.2092,30.00,30.000,26.830,12.950,0.5880,-30291,-8.786,16.50,0.0,0.177,-0.215,9.471
1777704687.3702,0.2850,1,0,ACTIVE,8.000,0.0000,512,0.000,1.1290,30.00,30.000,27.340,14.290,0.6300,-33363,-9.677,16.40,0.0,0.460,1.503,8.662
