wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777704431.8502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,0.000,0.000,0.0000,0,0.000,16.90,0.0,0.072,0.551,9.883
1777704431.8702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,0.000,0.000,0.0000,0,0.000,16.90,0.0,0.081,0.546,9.849
1777704431.8902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,0.300,0.000,0.0000,0,0.000,16.90,0.0,0.081,0.517,9.897
1777704431.9102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,0.370,0.000,-0.0050,0,0.000,16.90,0.0,0.057,0.541,9.907
1777704431.9302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,25.350,1.200,0.0380,-536,-0.155,16.90,0.0,0.115,0.603,9.514
1777704431.9502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,15.210,0.760,0.0720,-1112,-0.323,16.90,0.0,0.330,0.254,9.758
1777704431.9702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,1.580,0.070,0.0540,-1937,-0.562,16.90,0.0,0.072,0.685,9.926
1777704431.9902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,3.550,0.190,0.0700,-2560,-0.743,16.90,0.0,-0.192,0.527,9.998
1777704432.0102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,2.850,0.110,0.0700,-3133,-0.909,16.90,0.0,0.282,0.666,9.974
1777704432.0302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.150,0.340,0.0780,-3671,-1.065,16.90,0.0,-0.053,0.460,9.744
1777704432.0502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.980,0.570,0.0890,-4146,-1.203,16.90,0.0,0.282,0.460,9.859
1777704432.0702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,5.860,0.430,0.0940,-4645,-1.347,16.90,0.0,0.187,0.565,9.907
1777704432.0902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.670,0.540,0.0990,-5154,-1.495,16.90,0.0,-0.057,0.699,9.701
1777704432.1102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,5.700,0.470,0.1030,-5691,-1.651,16.90,0.0,0.206,0.441,10.084
1777704432.1302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.190,0.540,0.1150,-6160,-1.787,16.90,0.0,-0.014,0.335,10.079
1777704432.1502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.410,0.720,0.1190,-6660,-1.932,16.90,0.0,0.177,0.555,9.930
1777704432.1702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.200,0.600,0.1220,-7179,-2.082,16.90,0.0,0.201,0.531,10.041
1777704432.1902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.280,0.630,0.1320,-7670,-2.225,16.90,0.0,-0.148,0.670,10.021
1777704432.2102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.060,0.780,0.1390,-8150,-2.364,16.90,0.0,0.278,0.412,9.662
1777704432.2302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.010,0.790,0.1460,-8654,-2.510,16.90,0.0,-0.124,0.551,9.926
1777704432.2502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.750,0.790,0.1510,-9156,-2.656,16.90,0.0,0.196,0.469,9.897
1777704432.2702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.810,1.000,0.1580,-9648,-2.799,16.90,0.0,0.168,0.565,9.710
1777704432.2902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.200,0.910,0.1630,-10155,-2.946,16.90,0.0,0.053,0.364,9.868
1777704432.3102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.120,0.940,0.1710,-10647,-3.088,16.80,0.0,0.053,0.555,9.849
1777704432.3302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.780,1.090,0.1760,-11151,-3.234,16.90,0.0,0.096,0.527,10.175
1777704432.3502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.730,1.110,0.1820,-11635,-3.375,16.90,0.0,-0.038,0.350,9.844
1777704432.3703,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.000,1.200,0.1900,-12132,-3.519,16.80,0.0,0.101,0.464,9.691
1777704432.3902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.570,1.140,0.1960,-12641,-3.667,16.80,0.0,0.254,0.733,9.782
1777704432.4102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.030,1.290,0.2030,-13134,-3.810,16.80,0.0,-0.139,0.450,10.314
1777704432.4302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.000,1.310,0.2100,-13638,-3.956,16.80,0.0,-0.062,0.546,9.969
