wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777704762.4902,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,0.000,0.000,0.0000,0,0.000,16.70,0.0,0.168,0.527,9.883
1777704762.5102,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,-0.240,0.000,0.0000,0,0.000,16.80,0.0,0.144,0.531,9.859
1777704762.5301,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,-0.330,0.000,-0.0100,0,0.000,16.80,0.0,0.172,0.522,9.859
1777704762.5502,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,25.610,1.110,0.0240,-639,-0.185,16.70,0.0,0.048,0.455,9.849
1777704762.5702,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,19.830,1.020,0.0700,-1037,-0.301,16.70,0.0,0.316,0.450,10.543
1777704762.5902,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,5.620,0.270,0.0600,-1858,-0.539,16.80,0.0,0.479,0.713,10.352
1777704762.6102,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,1.940,0.090,0.0700,-2513,-0.729,16.80,0.0,-0.048,0.560,9.581
1777704762.6302,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,3.670,0.200,0.0710,-3119,-0.905,16.80,0.0,0.397,0.302,9.902
1777704762.6502,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,6.000,0.390,0.0920,-3603,-1.045,16.70,0.0,-0.034,0.622,10.055
1777704762.6705,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,5.550,0.380,0.0830,-4196,-1.217,16.80,0.0,0.081,0.555,9.844
1777704762.6904,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,3.980,0.240,0.0960,-4695,-1.362,16.80,0.0,0.201,0.412,9.840
1777704762.7103,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,6.320,0.500,0.1040,-5154,-1.495,16.70,0.0,0.005,0.531,9.796
1777704762.7304,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.690,0.880,0.1130,-5619,-1.630,16.70,0.0,0.268,0.345,10.021
1777704762.7505,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,6.460,0.580,0.1110,-6172,-1.790,16.70,0.0,0.086,0.512,9.916
1777704762.7704,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,6.090,0.500,0.1190,-6672,-1.935,16.70,0.0,0.259,0.570,10.017
1777704762.7905,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,6.510,0.620,0.1240,-7183,-2.084,16.70,0.0,0.034,0.551,9.825
1777704762.8103,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.180,0.770,0.1330,-7664,-2.223,16.70,0.0,0.105,0.618,9.796
1777704762.8305,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.010,0.770,0.1380,-8156,-2.366,16.70,0.0,0.172,0.464,9.902
1777704762.8503,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,6.570,0.730,0.1440,-8679,-2.517,16.70,0.0,0.120,0.541,9.844
1777704762.8702,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.350,0.890,0.1540,-9148,-2.653,16.70,0.0,0.053,0.464,9.634
1777704762.8902,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.640,0.970,0.1590,-9654,-2.800,16.70,0.0,0.273,0.594,9.725
1777704762.9102,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,6.860,0.850,0.1630,-10165,-2.948,16.70,0.0,0.187,0.383,10.021
1777704762.9302,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.470,1.020,0.1720,-10652,-3.090,16.70,0.0,0.144,0.407,10.065
1777704762.9503,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.620,1.060,0.1760,-11157,-3.236,16.70,0.0,0.254,0.536,9.830
1777704762.9705,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.820,1.130,0.1860,-11650,-3.379,16.70,0.0,0.144,0.541,9.629
1777704762.9905,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.840,1.180,0.1920,-12158,-3.527,16.70,0.0,-0.029,0.378,9.945
1777704763.0102,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.490,1.140,0.1990,-12640,-3.666,16.70,0.0,0.158,0.551,9.868
1777704763.0305,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.070,1.300,0.2040,-13149,-3.814,16.70,0.0,0.034,0.450,9.614
1777704763.0504,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,7.950,1.310,0.2090,-13641,-3.957,16.70,0.0,0.187,0.699,9.811
1777704763.0702,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.310,1.430,0.2150,-14153,-4.105,16.70,0.0,0.029,0.661,9.811
1777704763.0902,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.040,1.420,0.2210,-14648,-4.249,16.70,0.0,0.158,0.450,10.251
1777704763.1102,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.450,1.530,0.2290,-15141,-4.392,16.70,0.0,0.062,0.441,10.060
1777704763.1302,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.500,1.610,0.2350,-15629,-4.533,16.70,0.0,0.311,0.551,9.907
1777704763.1501,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.140,1.550,0.2390,-16158,-4.687,16.70,0.0,0.129,0.426,10.045
1777704763.1702,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.940,1.800,0.2510,-16632,-4.824,16.70,0.0,0.230,0.536,10.065
1777704763.1901,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.340,1.670,0.2550,-17137,-4.971,16.70,0.0,-0.034,0.388,9.696
1777704763.2103,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.020,1.880,0.2650,-17645,-5.118,16.70,0.0,0.383,0.426,10.304
1777704763.2302,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.850,1.920,0.2690,-18132,-5.259,16.70,0.0,-0.005,0.618,10.290
1777704763.2502,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.550,1.830,0.2760,-18649,-5.409,16.70,0.0,0.282,0.555,10.127
1777704763.2702,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.240,2.090,0.2850,-19146,-5.554,16.70,0.0,0.292,0.685,10.165
1777704763.2902,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.190,2.140,0.2950,-19621,-5.691,16.70,0.0,0.148,0.632,10.060
1777704763.3102,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.980,2.130,0.2970,-20125,-5.837,16.70,0.0,-0.153,0.397,9.337
1777704763.3302,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.030,2.170,0.3010,-20655,-5.991,16.70,0.0,0.464,0.326,10.117
1777704763.3502,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.500,2.360,0.3120,-21133,-6.130,16.70,0.0,0.072,0.699,9.926
1777704763.3702,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.460,2.420,0.3190,-21618,-6.271,16.70,0.0,-0.148,0.560,9.562
1777704763.3905,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,8.850,2.280,0.3210,-22133,-6.420,16.70,0.0,0.292,0.450,9.988
1777704763.4105,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.630,2.560,0.3280,-22639,-6.567,16.70,0.0,-0.024,0.656,9.969
1777704763.4303,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.400,2.530,0.3390,-23143,-6.713,16.70,0.0,0.254,0.670,10.237
1777704763.4505,0.2090,1,0,ACTIVE,8.000,0.0000,512,0.000,1.4740,30.00,30.000,9.370,2.620,0.3450,-23634,-6.855,16.70,0.0,0.354,0.441,9.974
