wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777704550.7302,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,0.000,0.000,0.0010,0,0.000,16.80,0.0,0.072,0.551,9.849
1777704550.7502,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,0.000,0.000,0.0010,0,0.000,16.80,0.0,0.086,0.551,9.897
1777704550.7702,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,-0.260,0.000,0.0000,0,0.000,16.80,0.0,0.081,0.560,9.844
1777704550.7902,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,-0.290,0.000,0.0000,0,0.000,16.80,0.0,0.077,0.546,9.902
1777704550.8102,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,25.860,1.150,0.0240,-571,-0.166,16.80,0.0,0.215,0.622,9.705
1777704550.8302,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,21.930,1.130,0.0550,-1095,-0.318,16.80,0.0,0.723,0.316,9.954
1777704550.8502,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,4.890,0.230,0.0700,-1814,-0.526,16.80,0.0,0.282,0.666,10.223
1777704550.8702,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,1.660,0.070,0.0660,-2507,-0.727,16.80,0.0,-0.192,0.599,10.141
1777704550.8902,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,4.210,0.240,0.0760,-3054,-0.886,16.80,0.0,0.153,0.622,9.298
1777704550.9102,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,6.560,0.440,0.0790,-3636,-1.055,16.80,0.0,0.201,0.335,9.835
1777704550.9302,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,3.680,0.230,0.0860,-4175,-1.211,16.80,0.0,0.038,0.551,9.940
1777704550.9502,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,5.260,0.380,0.0980,-4648,-1.348,16.80,0.0,-0.043,0.536,10.088
1777704550.9702,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,9.040,0.760,0.1080,-5112,-1.483,16.80,0.0,0.010,0.757,10.031
1777704550.9902,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,6.520,0.550,0.1040,-5654,-1.640,16.80,0.0,-0.211,0.436,10.031
1777704551.0102,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,5.880,0.460,0.1150,-6166,-1.789,16.80,0.0,0.211,0.670,9.816
1777704551.0302,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,6.250,0.580,0.1210,-6655,-1.930,16.80,0.0,0.034,0.522,9.950
1777704551.0501,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,6.840,0.690,0.1270,-7137,-2.070,16.70,0.0,-0.057,0.421,9.811
1777704551.0702,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,7.080,0.750,0.1340,-7630,-2.213,16.70,0.0,0.139,0.474,9.820
1777704551.0901,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,6.730,0.720,0.1380,-8148,-2.363,16.80,0.0,-0.024,0.512,9.825
1777704551.1102,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,6.590,0.710,0.1430,-8643,-2.507,16.80,0.0,-0.014,0.560,9.935
1777704551.1302,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,7.320,0.880,0.1540,-9124,-2.647,16.80,0.0,0.014,0.503,9.940
1777704551.1501,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,7.360,0.910,0.1570,-9628,-2.793,16.80,0.0,-0.148,0.417,9.998
1777704551.1701,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,6.970,0.890,0.1630,-10126,-2.937,16.80,0.0,0.263,0.589,9.557
1777704551.1901,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,7.810,1.060,0.1690,-10615,-3.079,16.80,0.0,-0.005,0.445,10.012
1777704551.2102,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,7.220,0.980,0.1740,-11117,-3.225,16.80,0.0,0.182,0.551,10.218
1777704551.2302,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,7.590,1.100,0.1830,-11607,-3.367,16.80,0.0,0.005,0.646,10.074
1777704551.2502,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,7.820,1.170,0.1860,-12116,-3.514,16.80,0.0,0.225,0.709,9.911
1777704551.2702,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,8.040,1.250,0.1970,-12599,-3.654,16.80,0.0,-0.096,0.239,9.787
1777704551.2902,0.0000,0,0,POST,8.000,0.0000,0,8.476,0.0000,0.00,30.000,7.870,1.240,0.2030,-13104,-3.801,16.80,0.0,0.029,0.350,9.916
