wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777704420.3902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,0.000,0.000,0.0000,0,0.000,16.90,0.0,0.072,0.551,9.897
1777704420.4102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,0.000,0.000,0.0000,0,0.000,16.90,0.0,0.086,0.536,9.892
1777704420.4302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,0.170,0.000,0.0000,0,0.000,16.90,0.0,0.091,0.517,9.840
1777704420.4502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,0.280,0.000,0.0000,0,0.000,16.90,0.0,0.053,0.551,9.916
1777704420.4701,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,27.910,1.320,0.0290,-485,-0.141,16.90,0.0,0.148,0.622,9.792
1777704420.4902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,16.230,0.800,0.0530,-1129,-0.327,16.90,0.0,0.776,0.373,10.414
1777704420.5102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,4.380,0.220,0.0640,-1870,-0.542,16.90,0.0,-0.263,0.924,10.247
1777704420.5302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,1.380,0.060,0.0690,-2520,-0.731,16.90,0.0,0.005,0.493,9.959
1777704420.5502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,4.860,0.240,0.0650,-3165,-0.918,16.90,0.0,0.259,0.551,9.749
1777704420.5702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,5.900,0.360,0.0890,-3554,-1.031,16.90,0.0,-0.144,0.417,9.969
1777704420.5902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.470,0.520,0.0830,-4149,-1.203,16.90,0.0,0.124,0.484,9.682
1777704420.6102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.280,0.310,0.0860,-4687,-1.360,16.90,0.0,-0.005,0.603,9.614
1777704420.6302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,9.000,0.730,0.1120,-5103,-1.480,16.90,0.0,-0.124,0.340,10.304
1777704420.6502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.870,0.580,0.1120,-5617,-1.629,16.90,0.0,-0.014,0.670,9.796
1777704420.6702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,5.870,0.420,0.1090,-6149,-1.784,16.90,0.0,-0.024,0.474,9.753
1777704420.6901,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.700,0.600,0.1170,-6680,-1.938,16.90,0.0,0.215,0.445,9.873
1777704420.7102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.270,0.720,0.1250,-7164,-2.078,16.80,0.0,0.168,0.608,9.849
1777704420.7301,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.670,0.680,0.1320,-7661,-2.222,16.80,0.0,-0.072,0.531,10.045
1777704420.7502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.500,0.830,0.1420,-8137,-2.360,16.80,0.0,0.239,0.680,10.314
1777704420.7701,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.210,0.810,0.1430,-8644,-2.507,16.80,0.0,-0.029,0.508,10.002
1777704420.7902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.440,0.730,0.1500,-9159,-2.657,16.90,0.0,0.034,0.627,9.677
1777704420.8102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.370,0.920,0.1590,-9637,-2.795,16.90,0.0,-0.057,0.326,10.031
1777704420.8302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.590,0.980,0.1640,-10138,-2.941,16.80,0.0,-0.038,0.498,9.811
1777704420.8502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.310,0.970,0.1700,-10636,-3.085,16.90,0.0,0.115,0.747,9.950
1777704420.8702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.980,1.120,0.1790,-11126,-3.227,16.80,0.0,0.014,0.259,10.266
1777704420.8902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.310,1.020,0.1830,-11645,-3.378,16.80,0.0,0.010,0.445,9.825
1777704420.9102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.780,1.160,0.1920,-12137,-3.520,16.80,0.0,0.139,0.646,9.930
1777704420.9302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.840,1.210,0.1960,-12648,-3.669,16.80,0.0,-0.086,0.833,10.184
1777704420.9502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.290,1.340,0.2040,-13136,-3.810,16.80,0.0,0.034,0.421,10.050
1777704420.9702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.010,1.310,0.2100,-13638,-3.956,16.80,0.0,0.129,0.493,9.969
1777704420.9902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.990,1.350,0.2170,-14124,-4.097,16.80,0.0,-0.038,0.656,9.634
1777704421.0102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.030,1.390,0.2220,-14624,-4.242,16.80,0.0,-0.024,0.627,9.543
1777704421.0302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,9.000,1.670,0.2300,-15125,-4.387,16.80,0.0,-0.010,0.627,9.634
1777704421.0502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.830,1.420,0.2360,-15634,-4.535,16.80,0.0,0.048,0.670,10.012
1777704421.0702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.640,1.670,0.2440,-16127,-4.678,16.80,0.0,0.072,0.546,9.945
1777704421.0902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,8.530,1.670,0.2480,-16612,-4.819,16.80,0.0,-0.144,0.627,10.031
1777704421.1102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.400,1.370,0.2310,-17130,-4.969,16.90,0.0,0.215,0.402,10.041
1777704421.1302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,1.920,0.380,0.2340,-17093,-4.958,16.90,0.0,0.086,0.479,9.763
1777704421.1502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,2.920,0.380,0.2260,-17187,-4.985,16.90,0.0,0.010,0.680,9.806
1777704421.1702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,3.380,0.340,0.2250,-17220,-4.995,16.90,0.0,0.249,0.627,9.935
1777704421.1902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,5.580,0.760,0.2300,-17182,-4.984,16.90,0.0,-0.120,0.498,9.954
1777704421.2102,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,5.550,0.810,0.2300,-17167,-4.979,16.80,0.0,0.057,0.642,9.974
1777704421.2302,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.040,0.950,0.2290,-17163,-4.978,16.90,0.0,0.115,0.503,10.074
1777704421.2502,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,5.880,0.930,0.2290,-17149,-4.974,16.90,0.0,0.120,0.627,9.964
1777704421.2702,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,6.350,1.060,0.2310,-17126,-4.968,16.80,0.0,-0.029,0.388,10.074
1777704421.2902,0.0000,0,0,INIT,5.000,0.0000,0,0.000,0.0000,0.00,0.000,7.030,1.240,0.2300,-17104,-4.961,16.80,0.0,-0.053,0.575,10.021
