wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777710625.3354,0.0100,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,-0.110,0.000,0.0000,-17,-0.005,15.70,0.0,0.182,0.517,9.859
1777710625.3554,0.0300,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,29.550,2.160,0.1260,-299,-0.087,15.60,0.0,0.192,0.479,9.739
1777710625.3754,0.0500,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7576,68.00,68.000,63.640,7.330,0.1730,-1623,-0.471,15.60,0.0,5.147,0.828,7.805
1777710625.3954,0.0700,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7155,68.00,68.000,65.460,10.120,0.2000,-3236,-0.939,15.50,0.0,5.454,1.408,11.314
1777710625.4154,0.0900,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6651,68.00,68.000,66.220,12.220,0.2480,-5166,-1.498,15.40,0.0,6.196,0.517,10.060
1777710625.4354,0.1100,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6056,68.00,68.000,64.840,15.040,0.3020,-7446,-2.160,15.40,0.0,6.636,0.953,9.619
1777710625.4554,0.1300,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5388,68.00,68.000,64.250,17.800,0.3560,-10005,-2.902,15.30,0.0,5.516,0.292,9.117
1777710625.4754,0.1500,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4655,68.00,68.000,64.620,20.850,0.4090,-12812,-3.716,15.30,0.0,5.190,0.254,8.307
1777710625.4954,0.1700,1,0,ACTIVE,8.000,0.0000,512,0.000,5.3871,68.00,68.000,64.770,24.020,0.4570,-15817,-4.588,15.20,0.0,4.146,1.216,10.505
1777710625.5154,0.1900,1,0,ACTIVE,8.000,0.0000,512,0.000,5.3060,68.00,68.000,64.380,26.750,0.5180,-18923,-5.489,15.10,0.0,6.138,-0.709,7.718
