wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777710695.9554,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,-0.240,0.000,0.0000,0,0.000,15.60,0.0,0.235,0.445,9.892
1777710695.9754,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,-0.190,0.000,0.0000,0,0.000,15.60,0.0,0.254,0.455,9.892
1777710695.9954,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,-0.210,0.000,0.0000,0,0.000,15.60,0.0,0.259,0.431,9.835
1777710696.0154,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,-0.220,0.000,0.0000,0,0.000,15.70,0.0,0.259,0.441,9.907
1777710696.0354,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,20.860,0.920,0.0630,-327,-0.095,15.60,0.0,0.244,0.441,9.868
1777710696.0554,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,25.820,1.170,0.0840,-517,-0.150,15.60,0.0,6.354,0.450,9.734
1777710696.0754,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,50.820,2.820,0.0850,-616,-0.179,15.60,0.0,9.610,0.666,10.132
1777710696.0954,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,58.730,4.090,0.0930,-805,-0.233,15.60,0.0,7.752,0.503,10.381
1777710696.1154,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,59.640,4.600,0.0990,-1119,-0.325,15.60,0.0,7.934,0.666,9.930
1777710696.1354,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,60.430,5.170,0.1100,-1478,-0.429,15.60,0.0,7.800,0.919,9.844
1777710696.1554,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,60.900,5.670,0.1200,-1915,-0.555,15.60,0.0,8.058,0.694,9.399
1777710696.1754,0.0000,0,0,POST,6.000,0.0000,0,8.000,0.0000,0.00,68.000,58.900,5.890,0.1220,-2407,-0.698,15.50,0.0,8.212,0.594,9.662
