wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777710664.9554,0.1540,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7332,68.00,68.000,-0.300,0.000,0.0000,0,0.000,15.70,0.0,0.982,0.531,9.907
1777710664.9754,0.0100,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,-0.250,0.000,0.0000,0,0.000,15.70,0.0,0.527,0.512,9.840
1777710664.9954,0.0300,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,30.090,2.150,0.0900,-226,-0.066,15.60,0.0,0.503,0.512,9.835
1777710665.0154,0.0500,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,67.820,4.870,0.0910,-492,-0.143,15.60,0.0,13.258,0.675,8.566
1777710665.0354,0.0700,1,0,ACTIVE,8.000,0.0000,512,0.000,5.8000,68.00,68.000,67.260,5.250,0.1010,-747,-0.217,15.60,0.0,8.623,0.857,10.563
1777710665.0554,0.0900,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7704,68.00,68.000,67.240,5.900,0.1110,-1133,-0.329,15.60,0.0,9.456,1.063,9.557
1777710665.0754,0.1100,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7586,68.00,68.000,67.350,6.420,0.1190,-1587,-0.460,15.60,0.0,8.590,0.790,9.729
1777710665.0954,0.1300,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7433,68.00,68.000,66.890,7.160,0.1370,-2172,-0.630,15.60,0.0,8.561,0.685,9.801
1777710665.1154,0.1500,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7287,68.00,68.000,67.550,7.720,0.1440,-2733,-0.793,15.50,0.0,9.543,0.704,9.691
1777710665.1354,0.1700,1,0,ACTIVE,8.000,0.0000,512,0.000,5.7120,68.00,68.000,67.040,8.360,0.1570,-3370,-0.978,15.50,0.0,8.882,0.828,9.868
1777710665.1554,0.1900,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6951,68.00,68.000,67.400,8.970,0.1670,-4020,-1.166,15.50,0.0,8.801,0.689,9.447
1777710665.1754,0.2100,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6765,68.00,68.000,67.190,9.730,0.1750,-4732,-1.373,15.50,0.0,9.155,1.422,8.604
1777710665.1954,0.2300,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6601,68.00,68.000,67.470,10.110,0.1840,-5360,-1.555,15.50,0.0,8.757,0.603,12.353
1777710665.2154,0.2500,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6417,68.00,68.000,66.800,10.750,0.2010,-6062,-1.758,15.50,0.0,8.499,0.426,7.699
1777710665.2354,0.2700,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6222,68.00,68.000,67.580,11.670,0.2060,-6809,-1.975,15.40,0.0,8.255,0.776,9.600
1777710665.2554,0.2900,1,0,ACTIVE,8.000,0.0000,512,0.000,5.6056,68.00,68.000,67.420,11.930,0.2160,-7446,-2.160,15.40,0.0,9.524,0.800,10.476
1777710665.2754,0.3100,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5877,68.00,68.000,66.940,12.520,0.2320,-8133,-2.359,15.40,0.0,8.245,0.766,9.787
1777710665.2954,0.3300,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5677,68.00,68.000,67.430,13.550,0.2390,-8898,-2.581,15.40,0.0,9.136,0.728,7.647
1777710665.3154,0.3500,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5502,68.00,68.000,67.420,13.880,0.2470,-9568,-2.775,15.40,0.0,9.078,1.101,11.506
1777710665.3354,0.3700,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5316,68.00,68.000,66.960,14.480,0.2640,-10281,-2.982,15.40,0.0,8.307,0.010,7.924
1777710665.3554,0.3900,1,0,ACTIVE,8.000,0.0000,512,0.000,5.5131,68.00,68.000,67.680,15.290,0.2700,-10990,-3.188,15.40,0.0,9.701,0.311,8.135
1777710665.3754,0.4100,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4958,68.00,68.000,67.050,15.590,0.2830,-11652,-3.380,15.40,0.0,8.202,1.618,12.717
1777710665.3954,0.4300,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4770,68.00,68.000,67.260,16.420,0.2960,-12374,-3.589,15.30,0.0,9.227,1.068,8.494
1777710665.4154,0.4500,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4584,68.00,68.000,67.150,17.000,0.3080,-13084,-3.795,15.30,0.0,8.173,1.231,13.311
1777710665.4354,0.4700,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4386,68.00,68.000,67.070,17.760,0.3210,-13842,-4.015,15.30,0.0,8.791,-1.029,7.005
1777710665.4554,0.4900,1,0,ACTIVE,8.000,0.0000,512,0.000,5.4227,68.00,68.000,67.820,18.170,0.3230,-14454,-4.193,15.30,0.0,10.323,1.034,10.993
