wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777710742.6755,0.0000,0,0,POST,6.000,0.0000,0,6.000,0.0000,0.00,68.000,0.300,0.000,0.0000,0,0.000,15.60,0.0,0.206,0.441,9.878
1777710742.6954,0.0120,1,0,ACTIVE,6.000,0.0000,512,0.000,5.8000,68.00,68.000,0.290,0.000,0.0000,0,0.000,15.60,0.0,0.268,0.474,9.863
1777710742.7154,0.0320,1,0,ACTIVE,6.000,0.0000,512,0.000,5.8000,68.00,68.000,27.580,1.990,0.1170,-276,-0.080,15.50,0.0,0.282,0.426,9.787
1777710742.7354,0.0520,1,0,ACTIVE,6.000,0.0000,512,0.000,5.8000,68.00,68.000,68.520,5.580,0.0920,-770,-0.223,15.50,0.0,12.755,0.689,8.638
1777710742.7554,0.0720,1,0,ACTIVE,6.000,0.0000,512,0.000,5.8000,68.00,68.000,67.920,4.970,0.0950,-824,-0.239,15.50,0.0,8.101,0.871,11.453
1777710742.7754,0.0920,1,0,ACTIVE,6.000,0.0000,512,0.000,5.7694,68.00,68.000,66.980,5.680,0.1090,-1172,-0.340,15.50,0.0,8.920,0.484,8.480
1777710742.7954,0.1120,1,0,ACTIVE,6.000,0.0000,512,0.000,5.7590,68.00,68.000,67.160,6.240,0.1210,-1572,-0.456,15.50,0.0,9.016,0.943,9.902
1777710742.8154,0.1320,1,0,ACTIVE,6.000,0.0000,512,0.000,5.7463,68.00,68.000,67.420,6.940,0.1280,-2058,-0.597,15.50,0.0,9.562,0.704,9.284
1777710742.8354,0.1520,1,0,ACTIVE,6.000,0.0000,512,0.000,5.7316,68.00,68.000,67.060,7.500,0.1430,-2622,-0.761,15.50,0.0,8.394,0.766,10.088
1777710742.8554,0.1720,1,0,ACTIVE,6.000,0.0000,512,0.000,5.7160,68.00,68.000,67.400,8.240,0.1500,-3216,-0.933,15.50,0.0,9.629,0.723,8.743
1777710742.8754,0.1920,1,0,ACTIVE,6.000,0.0000,512,0.000,5.7001,68.00,68.000,67.280,8.750,0.1630,-3825,-1.109,15.50,0.0,8.556,0.311,10.093
1777710742.8955,0.2120,1,0,ACTIVE,6.000,0.0000,512,0.000,5.6834,68.00,68.000,67.290,9.330,0.1730,-4465,-1.295,15.50,0.0,9.016,0.938,9.959
1777710742.9154,0.2320,1,0,ACTIVE,6.000,0.0000,512,0.000,5.6658,68.00,68.000,67.250,10.020,0.1830,-5141,-1.491,15.40,0.0,8.748,1.144,10.256
1777710742.9354,0.2520,1,0,ACTIVE,6.000,0.0000,512,0.000,5.6476,68.00,68.000,67.110,10.640,0.1980,-5838,-1.693,15.40,0.0,8.810,0.704,9.275
1777710742.9555,0.2720,1,0,ACTIVE,6.000,0.0000,512,0.000,5.6287,68.00,68.000,67.430,11.420,0.2050,-6562,-1.903,15.40,0.0,9.337,0.393,8.791
1777710742.9754,0.2920,1,0,ACTIVE,6.000,0.0000,512,0.000,5.6092,68.00,68.000,66.960,11.990,0.2210,-7308,-2.120,15.40,0.0,8.944,0.493,8.370
1777710742.9954,0.3120,1,0,ACTIVE,6.000,0.0000,512,0.000,5.5925,68.00,68.000,67.770,12.530,0.2220,-7950,-2.306,15.40,0.0,9.093,0.038,11.889
1777710743.0154,0.3320,1,0,ACTIVE,6.000,0.0000,512,0.000,5.5737,68.00,68.000,66.920,13.110,0.2390,-8668,-2.514,15.40,0.0,8.623,1.106,8.571
1777710743.0354,0.3520,1,0,ACTIVE,6.000,0.0000,512,0.000,5.5563,68.00,68.000,67.320,13.680,0.2470,-9337,-2.708,15.40,0.0,9.270,0.579,9.543
1777710743.0554,0.3720,1,0,ACTIVE,6.000,0.0000,512,0.000,5.5382,68.00,68.000,67.220,14.290,0.2580,-10027,-2.908,15.40,0.0,8.504,0.062,10.156
1777710743.0754,0.3920,1,0,ACTIVE,6.000,0.0000,512,0.000,5.5192,68.00,68.000,67.330,15.080,0.2720,-10758,-3.120,15.30,0.0,9.045,0.560,7.924
