,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
62,12.382788,4.483265,0.120351,-0.302819,-4.196494,-5.943245,2.946704,-4.905809,16.023612
63,12.582510,4.282567,0.052917,-0.340118,-4.053118,-6.181944,3.748229,-4.285347,16.023612
64,12.782233,4.080197,-0.021670,-0.371189,-3.861439,-6.401090,4.582265,-3.676992,16.023612
65,12.981955,3.882249,-0.100182,-0.390215,-3.618924,-6.595694,5.079655,-3.676495,16.023612
66,13.181677,3.696453,-0.177500,-0.391908,-3.347991,-6.791787,5.670307,-3.830256,16.023612
67,13.381400,3.529768,-0.248061,-0.373313,-3.052661,-6.991280,6.483594,-3.913364,16.023612
68,13.581122,3.386372,-0.307807,-0.335243,-2.731171,-7.185325,7.444191,-3.830746,16.023612
69,13.780845,3.266764,-0.355283,-0.282502,-2.382964,-7.364510,8.427328,-3.514757,16.023612
70,13.980567,3.169338,-0.390932,-0.220631,-2.009089,-7.520441,9.269721,-2.994369,16.023612
71,14.180289,3.091918,-0.415960,-0.155244,-1.612797,-7.648454,9.711698,-2.454232,16.023612
72,14.380012,3.032184,-0.432087,-0.095430,-1.200368,-7.752679,9.745417,-1.923333,16.023612
73,14.579734,2.989240,-0.441355,-0.049265,-0.777092,-7.836215,9.628996,-1.154762,16.023612
74,14.779456,2.964089,-0.445667,-0.017813,-0.345692,-7.887951,9.444104,-0.175444,16.023612
75,14.979179,2.958184,-0.446657,0.001412,0.089318,-7.896032,9.228155,0.926272,16.023612
76,15.178901,2.972469,-0.445567,0.013841,0.521176,-7.852685,9.140303,1.809764,16.023612
77,15.378624,3.006364,-0.442593,0.031377,0.944054,-7.768956,9.264933,2.302570,16.023612
78,15.578346,3.057507,-0.436275,0.066190,1.356064,-7.666561,9.468495,2.560548,16.023612
79,15.778068,3.123424,-0.424171,0.123146,1.757038,-7.558126,9.457756,2.796787,16.023612
80,15.977791,3.203431,-0.403537,0.198878,2.144894,-7.443432,8.871673,3.262946,16.023612
81,16.177513,3.299726,-0.371427,0.283187,2.511805,-7.308484,7.728398,3.721863,16.023612
82,16.377236,3.417166,-0.324586,0.361531,2.850334,-7.145455,6.430307,3.864398,16.023612
83,16.576958,3.561272,-0.260567,0.417727,3.158749,-6.960108,5.419380,3.693668,16.023612
84,16.776680,3.733371,-0.180890,0.440518,3.441371,-6.767482,4.772262,3.531222,16.023612
85,16.976403,3.926943,-0.092947,0.429309,3.700079,-6.576052,4.379597,3.529185,16.023612
86,17.176125,4.130820,-0.006631,0.393453,3.934004,-6.387550,4.078796,3.688784,16.023612
87,17.375847,4.336036,0.071172,0.345653,4.141311,-6.200065,3.791903,3.904632,16.023612
