wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777711367.1476,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,-5.430,-0.080,0.0110,-2229,-0.647,16.40,0.0,-1.638,0.560,9.926
1777711367.1676,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,-8.320,-0.080,0.0000,-2198,-0.638,16.50,0.0,-1.360,0.364,9.830
1777711367.1876,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,-14.590,-0.060,0.0000,-2109,-0.612,16.50,0.0,-3.443,0.575,10.132
1777711367.2076,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,-4.810,-0.010,0.0220,-2165,-0.628,16.50,0.0,-2.523,0.589,9.461
1777711367.2276,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,1.420,0.100,0.0630,-2108,-0.611,16.50,0.0,0.919,0.661,9.988
1777711367.2476,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,3.390,0.150,0.0430,-2487,-0.721,16.50,0.0,0.124,0.541,9.940
1777711367.2677,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,16.190,0.860,0.0700,-2480,-0.719,16.50,0.0,1.422,0.699,9.380
1777711367.2876,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,31.540,1.900,0.0820,-2487,-0.721,16.40,0.0,4.266,0.709,10.165
1777711367.3076,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,39.080,2.740,0.0890,-2606,-0.756,16.40,0.0,5.339,0.704,9.629
1777711367.3276,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.730,3.590,0.1010,-2758,-0.800,16.40,0.0,6.033,0.661,9.820
1777711367.3476,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,48.210,4.220,0.1130,-3059,-0.887,16.40,0.0,6.047,0.575,9.701
1777711367.3676,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.480,4.200,0.1160,-3478,-1.009,16.40,0.0,6.047,0.886,9.428
1777711367.3877,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,48.720,4.950,0.1310,-3871,-1.123,16.40,0.0,6.383,0.828,10.237
1777711367.4076,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,46.430,5.100,0.1340,-4387,-1.273,16.40,0.0,5.999,0.670,9.370
1777711367.4276,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,46.410,5.300,0.1420,-4862,-1.410,16.40,0.0,6.627,1.211,10.376
1777711367.4476,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,46.400,5.640,0.1510,-5389,-1.563,16.40,0.0,5.971,0.656,9.729
1777711367.4676,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.510,5.750,0.1530,-5891,-1.709,16.40,0.0,5.837,0.469,9.217
1777711367.4876,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,46.210,6.160,0.1650,-6403,-1.857,16.30,0.0,5.712,0.905,10.443
1777711367.5076,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,47.220,6.590,0.1710,-6896,-2.000,16.30,0.0,6.205,0.718,9.614
1777711367.5276,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,47.100,6.870,0.1760,-7413,-2.150,16.30,0.0,5.473,0.680,9.519
1777711367.5476,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,44.110,6.690,0.1870,-7974,-2.313,16.30,0.0,5.803,0.666,9.495
1777711367.5676,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,46.330,7.300,0.1860,-8469,-2.457,16.30,0.0,5.789,0.407,8.959
1777711367.5876,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,47.570,7.810,0.2010,-8953,-2.597,16.30,0.0,5.928,0.891,10.151
1777711367.6077,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,46.230,7.880,0.2040,-9492,-2.753,16.30,0.0,5.937,0.881,9.485
1777711367.6277,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.750,8.040,0.2180,-9990,-2.898,16.30,0.0,6.450,0.512,9.169
1777711367.6477,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,46.750,8.590,0.2230,-10540,-3.057,16.30,0.0,5.506,1.164,10.481
1777711367.6676,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,43.580,8.180,0.2210,-11083,-3.215,16.30,0.0,5.358,0.259,9.998
1777711367.6877,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.330,8.800,0.2420,-11579,-3.359,16.30,0.0,6.129,1.403,10.371
1777711367.7076,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.390,9.160,0.2320,-12112,-3.513,16.30,0.0,6.201,1.130,9.538
1777711367.7276,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,48.560,10.010,0.2590,-12537,-3.637,16.30,0.0,6.895,0.144,10.452
1777711367.7476,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,44.820,9.650,0.2540,-13143,-3.812,16.30,0.0,4.865,0.527,9.332
1777711367.7677,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,42.730,9.330,0.2650,-13680,-3.968,16.30,0.0,5.932,0.622,8.829
1777711367.7877,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,44.650,10.070,0.2690,-14191,-4.116,16.20,0.0,5.425,0.359,9.112
1777711367.8077,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,47.950,11.110,0.2830,-14636,-4.245,16.20,0.0,6.234,0.163,8.959
1777711367.8276,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,42.990,10.270,0.2850,-15253,-4.424,16.20,0.0,4.965,1.216,10.002
1777711367.8477,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,42.330,10.310,0.2890,-15770,-4.574,16.20,0.0,5.908,1.647,10.055
1777711367.8676,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,44.720,11.180,0.3000,-16255,-4.715,16.20,0.0,5.411,1.326,10.448
1777711367.8877,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,46.600,11.970,0.3090,-16737,-4.855,16.20,0.0,5.272,0.608,10.050
1777711367.9077,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,43.400,11.410,0.3160,-17303,-5.019,16.20,0.0,5.085,0.584,7.287
1777711367.9277,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,42.110,11.320,0.3180,-17841,-5.175,16.20,0.0,4.630,0.421,8.700
1777711367.9477,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.470,12.510,0.3280,-18325,-5.315,16.20,0.0,5.516,0.340,9.581
1777711367.9676,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,44.560,12.520,0.3370,-18837,-5.464,16.20,0.0,5.564,0.919,9.634
1777711367.9877,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,41.990,12.070,0.3420,-19396,-5.626,16.20,0.0,4.927,0.905,8.374
1777711368.0077,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.060,13.240,0.3490,-19864,-5.762,16.20,0.0,5.688,0.177,8.063
1777711368.0277,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,44.390,13.300,0.3590,-20371,-5.909,16.20,0.0,5.276,1.005,9.753
1777711368.0477,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,45.140,13.850,0.3650,-20875,-6.055,16.20,0.0,4.965,1.293,9.500
1777711368.0676,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,43.950,13.730,0.3700,-21412,-6.211,16.20,0.0,4.841,0.369,9.361
1777711368.0877,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,44.970,14.280,0.3810,-21849,-6.338,16.10,0.0,6.928,1.623,9.456
1777711368.1077,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,47.750,15.670,0.3920,-22410,-6.500,16.10,0.0,2.677,1.001,10.366
1777711368.1277,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,38.800,12.800,0.3870,-23027,-6.679,16.20,0.0,5.521,0.608,6.938
1777711368.1477,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,43.730,14.690,0.3960,-23442,-6.800,16.10,0.0,4.123,0.814,9.883
1777711368.1677,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,50.720,17.570,0.4130,-23906,-6.934,16.10,0.0,4.228,-0.977,3.677
1777711368.1877,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,39.070,13.620,0.4100,-24544,-7.119,16.10,0.0,4.683,1.101,9.528
1777711368.2076,0.0000,0,0,POST,8.000,0.0000,0,8.000,0.0000,0.00,50.000,42.500,15.160,0.4210,-25042,-7.264,16.10,0.0,5.741,0.364,7.781
