wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777711144.0476,0.8390,1,0,ACTIVE,12.000,0.0000,512,0.000,5.1300,68.00,68.000,-0.300,0.000,0.0000,0,0.000,16.80,0.0,0.330,0.488,9.859
1777711144.0676,0.0150,1,0,ACTIVE,12.000,0.0000,512,0.000,5.8000,68.00,68.000,22.980,1.620,0.1080,-143,-0.041,16.70,0.0,0.292,0.393,9.662
1777711144.0876,0.0350,1,0,ACTIVE,12.000,0.0000,512,0.000,5.8000,68.00,68.000,64.380,6.540,0.1470,-1371,-0.398,16.60,0.0,5.233,0.713,9.188
1777711144.1076,0.0550,1,0,ACTIVE,12.000,0.0000,512,0.000,5.7642,68.00,68.000,64.700,8.790,0.1860,-2856,-0.828,16.50,0.0,5.679,0.924,10.515
1777711144.1276,0.0750,1,0,ACTIVE,12.000,0.0000,512,0.000,5.7254,68.00,68.000,65.140,11.420,0.2270,-4788,-1.389,16.40,0.0,6.378,1.494,10.347
1777711144.1476,0.0950,1,0,ACTIVE,12.000,0.0000,512,0.000,5.6750,68.00,68.000,64.060,14.010,0.2860,-7179,-2.082,16.40,0.0,5.674,0.594,9.318
1777711144.1676,0.1150,1,0,ACTIVE,12.000,0.0000,512,0.000,5.6126,68.00,68.000,64.600,16.840,0.3310,-9796,-2.841,16.30,0.0,6.138,-0.062,9.346
1777711144.1876,0.1350,1,0,ACTIVE,12.000,0.0000,512,0.000,5.5443,68.00,68.000,64.730,19.480,0.3790,-12597,-3.654,16.20,0.0,4.688,-0.024,8.882
1777711144.2076,0.1550,1,0,ACTIVE,12.000,0.0000,512,0.000,5.4711,68.00,68.000,64.360,22.230,0.4320,-15601,-4.525,16.10,0.0,6.593,0.196,7.465
1777711144.2276,0.1750,1,0,ACTIVE,12.000,0.0000,512,0.000,5.3927,68.00,68.000,64.500,25.010,0.4840,-18707,-5.426,16.10,0.0,5.746,0.852,12.171
1777711144.2477,0.1950,1,0,ACTIVE,12.000,0.0000,512,0.000,5.3116,68.00,68.000,64.610,28.030,0.5360,-21919,-6.358,16.00,0.0,5.827,1.389,9.859
1777711144.2676,0.2150,1,0,ACTIVE,12.000,0.0000,512,0.000,5.2278,68.00,68.000,64.520,30.960,0.5920,-25226,-7.317,15.90,0.0,6.095,0.924,10.907
1777711144.2876,0.2350,1,0,ACTIVE,12.000,0.0000,512,0.000,5.1415,68.00,68.000,65.020,34.360,0.6450,-28601,-8.296,15.80,0.0,4.721,0.828,10.280
1777711144.3077,0.2550,1,0,ACTIVE,12.000,0.0000,512,0.000,5.0534,68.00,68.000,64.870,37.360,0.7030,-32071,-9.303,15.70,0.0,6.459,1.527,11.482
1777711144.3276,0.2750,1,0,ACTIVE,12.000,0.0000,512,0.000,4.9628,68.00,68.000,64.390,40.510,0.7680,-35618,-10.331,15.60,0.0,5.406,-1.058,5.999
1777711144.3476,0.2950,1,0,ACTIVE,12.000,0.0000,512,0.000,4.8702,68.00,68.000,65.200,44.370,0.8270,-39183,-11.365,15.50,0.0,3.797,-0.153,8.858
1777711144.3677,0.3150,1,0,ACTIVE,12.000,0.0000,512,0.000,4.7771,68.00,68.000,64.640,47.400,0.8870,-42846,-12.428,15.40,0.0,5.880,0.924,11.817
1777711144.3876,0.3350,1,0,ACTIVE,12.000,0.0000,512,0.000,4.6815,68.00,68.000,63.990,50.140,0.9460,-46571,-13.508,15.10,0.0,5.492,2.557,10.974
