wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777741452.4605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.000,0.000,0.0000,0,0.000,16.60,0.0,0.168,0.455,9.907
1777741452.4805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.110,0.000,0.0000,0,0.000,16.70,0.0,0.158,0.469,9.945
1777741452.5005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.230,0.000,0.0000,0,0.000,16.70,0.0,0.163,0.484,9.887
1777741452.5205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,22.780,0.960,0.0470,-423,-0.123,16.60,0.0,0.239,0.565,10.045
1777741452.5405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,12.140,0.540,0.0650,-1004,-0.291,16.60,0.0,0.488,0.402,10.515
1777741452.5605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.010,0.330,0.0510,-1871,-0.543,16.70,0.0,0.101,0.656,9.739
1777741452.5805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.210,0.190,0.0750,-2458,-0.713,16.60,0.0,0.153,0.622,9.911
1777741452.6008,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.340,0.180,0.0760,-3036,-0.881,16.70,0.0,0.321,0.373,9.916
1777741452.6206,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.650,0.450,0.0840,-3571,-1.036,16.60,0.0,0.091,0.421,9.418
1777741452.6408,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.490,0.380,0.0830,-4126,-1.197,16.60,0.0,0.297,0.431,10.548
1777741452.6607,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.460,0.500,0.1020,-4581,-1.329,16.60,0.0,0.086,0.603,9.825
1777741452.6806,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.190,0.590,0.1050,-5086,-1.475,16.60,0.0,0.350,0.704,9.892
1777741452.7008,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.380,0.440,0.1090,-5605,-1.626,16.60,0.0,0.043,0.373,9.648
1777741452.7206,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.710,0.510,0.1150,-6113,-1.773,16.60,0.0,0.101,0.455,9.696
