wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777741164.4805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.000,0.000,0.0000,0,0.000,16.70,0.0,0.192,0.488,9.907
1777741164.5005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.150,0.000,0.0000,0,0.000,16.70,0.0,0.187,0.488,9.974
1777741164.5205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.240,0.000,0.0000,0,0.000,16.70,0.0,0.134,0.441,9.825
1777741164.5405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,18.950,0.800,0.0490,-429,-0.124,16.70,0.0,0.244,0.469,9.883
1777741164.5605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,14.810,0.690,0.0740,-1016,-0.295,16.70,0.0,-0.043,0.340,10.342
1777741164.5805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.540,0.160,0.0580,-1834,-0.532,16.70,0.0,0.086,0.666,9.935
1777741164.6005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.120,0.150,0.0710,-2460,-0.714,16.70,0.0,0.278,0.723,9.524
1777741164.6205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.490,0.180,0.0710,-3081,-0.894,16.70,0.0,0.278,0.326,10.232
1777741164.6405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.950,0.330,0.0860,-3522,-1.022,16.70,0.0,-0.105,0.263,9.509
1777741164.6605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.650,0.620,0.0930,-4041,-1.172,16.70,0.0,-0.053,0.383,10.361
1777741164.6805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.580,0.500,0.1010,-4528,-1.313,16.70,0.0,0.780,0.766,9.552
1777741164.7008,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.470,0.420,0.1010,-5066,-1.469,16.70,0.0,0.043,0.579,9.552
1777741164.7206,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.770,0.480,0.1020,-5605,-1.626,16.70,0.0,0.134,0.211,10.194
1777741164.7405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.230,0.550,0.1120,-6090,-1.766,16.70,0.0,0.105,0.445,9.605
1777741164.7605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.590,0.620,0.1200,-6579,-1.908,16.70,0.0,0.134,0.546,10.232
1777741164.7805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.310,0.620,0.1260,-7086,-2.055,16.70,0.0,0.278,0.618,9.739
1777741164.8005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.540,0.680,0.1330,-7573,-2.197,16.70,0.0,0.230,0.464,9.993
1777741164.8208,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.210,0.800,0.1390,-8072,-2.341,16.70,0.0,0.134,0.330,9.907
