wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777741467.1005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.250,0.000,0.0000,0,0.000,16.70,0.0,0.139,0.484,10.108
1777741467.1205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.240,0.000,0.0000,0,0.000,16.70,0.0,0.211,0.493,9.763
1777741467.1405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.220,0.000,0.0000,0,0.000,16.70,0.0,0.177,0.441,9.974
1777741467.1605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,22.180,1.160,0.0690,-173,-0.050,16.60,0.0,0.306,0.570,9.672
1777741467.1805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,18.820,0.870,0.0770,-908,-0.263,16.60,0.0,0.134,0.311,10.764
1777741467.2005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,4.860,0.230,0.0610,-1762,-0.511,16.60,0.0,0.124,0.766,10.026
1777741467.2205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,2.070,0.090,0.0690,-2450,-0.711,16.60,0.0,0.359,0.713,10.007
1777741467.2405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.890,0.190,0.0750,-3084,-0.895,16.60,0.0,0.038,0.326,9.744
1777741467.2605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,4.790,0.210,0.0800,-3577,-1.038,16.60,0.0,-0.110,0.359,9.275
1777741467.2805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,9.590,0.610,0.0960,-4084,-1.185,16.60,0.0,0.010,0.407,10.989
1777741467.3005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.490,0.360,0.0940,-4602,-1.335,16.60,0.0,0.273,0.915,9.418
1777741467.3205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.570,0.700,0.1060,-5077,-1.473,16.60,0.0,0.306,0.417,9.940
1777741467.3405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.980,0.490,0.1110,-5567,-1.615,16.60,0.0,0.038,0.187,9.988
1777741467.3605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.130,0.650,0.1130,-6106,-1.771,16.60,0.0,0.101,0.445,9.624
1777741467.3805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.320,0.560,0.1210,-6619,-1.920,16.60,0.0,0.278,0.608,9.634
1777741467.4005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.300,0.600,0.1270,-7127,-2.067,16.60,0.0,0.330,0.445,10.448
1777741467.4205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.100,0.710,0.1390,-7607,-2.207,16.60,0.0,-0.101,0.345,9.691
1777741467.4405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.990,0.770,0.1400,-8120,-2.355,16.60,0.0,0.187,0.426,9.935
1777741467.4605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.720,0.760,0.1440,-8638,-2.506,16.60,0.0,0.268,0.541,9.969
1777741467.4805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.500,0.920,0.1550,-9109,-2.642,16.60,0.0,0.211,0.464,10.088
1777741467.5005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.080,0.870,0.1560,-9629,-2.793,16.60,0.0,0.206,0.599,9.763
1777741467.5205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.610,0.830,0.1640,-10131,-2.939,16.60,0.0,0.282,0.436,9.792
1777741467.5405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.500,1.020,0.1710,-10625,-3.082,16.60,0.0,0.034,0.369,10.184
1777741467.5605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.170,0.990,0.1790,-11119,-3.225,16.60,0.0,-0.029,0.350,9.691
1777741467.5805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.770,1.140,0.1880,-11604,-3.366,16.60,0.0,0.278,0.512,9.806
1777741467.6005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.520,1.120,0.1880,-12128,-3.518,16.60,0.0,0.096,0.484,9.950
1777741467.6205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.380,1.140,0.1970,-12621,-3.661,16.60,0.0,-0.053,0.536,9.816
1777741467.6405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.830,1.260,0.2050,-13120,-3.806,16.60,0.0,0.297,0.407,9.964
1777741467.6605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.900,1.320,0.2130,-13602,-3.945,16.60,0.0,0.350,0.479,9.581
1777741467.6805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.040,1.390,0.2160,-14119,-4.095,16.60,0.0,0.201,0.196,10.031
1777741467.7005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.730,1.350,0.2210,-14624,-4.242,16.60,0.0,0.282,0.522,9.605
1777741467.7205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.950,1.450,0.2310,-15117,-4.385,16.60,0.0,0.278,0.575,10.050
1777741467.7405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.760,1.680,0.2390,-15587,-4.521,16.60,0.0,0.110,0.551,9.907
1777741467.7605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.180,1.570,0.2430,-16102,-4.671,16.60,0.0,0.187,0.603,9.835
1777741467.7805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.380,1.670,0.2500,-16603,-4.816,16.60,0.0,0.330,0.373,10.021
1777741467.8005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.470,1.730,0.2560,-17097,-4.959,16.60,0.0,0.077,0.445,9.772
1777741467.8205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.980,1.900,0.2640,-17607,-5.107,16.60,0.0,0.230,0.498,9.921
1777741467.8405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.600,1.850,0.2710,-18094,-5.248,16.60,0.0,0.417,0.421,9.844
