wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777741143.2205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.000,0.000,0.0000,0,0.000,16.80,0.0,0.153,0.479,9.988
1777741143.2405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.130,0.000,0.0000,0,0.000,16.80,0.0,0.163,0.488,9.868
1777741143.2605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.240,0.000,0.0000,0,0.000,16.80,0.0,0.192,0.455,9.950
1777741143.2805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,25.740,1.250,0.0480,-429,-0.124,16.70,0.0,0.249,0.474,9.734
1777741143.3005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,15.030,0.710,0.0720,-976,-0.283,16.70,0.0,0.508,0.206,10.337
1777741143.3205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,4.180,0.200,0.0570,-1836,-0.533,16.80,0.0,-0.081,0.455,9.811
1777741143.3405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,2.790,0.140,0.0710,-2466,-0.715,16.80,0.0,0.417,0.757,10.141
1777741143.3605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.320,0.170,0.0750,-3074,-0.892,16.80,0.0,0.249,0.445,9.897
1777741143.3805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.710,0.330,0.0830,-3563,-1.033,16.80,0.0,-0.182,0.297,9.409
1777741143.4005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.240,0.600,0.0890,-4081,-1.184,16.80,0.0,0.139,0.254,10.816
1777741143.4205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.730,0.420,0.0930,-4590,-1.331,16.80,0.0,0.575,0.785,9.543
1777741143.4405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.580,0.530,0.0970,-5112,-1.483,16.80,0.0,0.335,0.776,9.792
1777741143.4605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,5.620,0.450,0.1040,-5619,-1.630,16.70,0.0,0.225,0.187,10.218
1777741143.4805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.270,0.560,0.1140,-6106,-1.771,16.70,0.0,0.062,0.560,9.351
1777741143.5005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.290,0.590,0.1190,-6612,-1.918,16.80,0.0,0.043,0.321,10.165
1777741143.5205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.630,0.670,0.1270,-7106,-2.061,16.70,0.0,0.484,0.555,9.854
1777741143.5405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.940,0.730,0.1320,-7597,-2.204,16.70,0.0,0.326,0.522,9.978
1777741143.5605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.060,0.780,0.1390,-8100,-2.350,16.70,0.0,0.096,0.206,9.940
1777741143.5805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.790,0.760,0.1410,-8623,-2.501,16.70,0.0,0.168,0.460,9.945
1777741143.6005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.890,0.810,0.1520,-9100,-2.640,16.70,0.0,0.196,0.675,9.988
1777741143.6205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.220,0.890,0.1570,-9606,-2.786,16.70,0.0,0.187,0.503,9.887
1777741143.6405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.280,0.940,0.1620,-10104,-2.931,16.70,0.0,0.215,0.479,9.916
1777741143.6605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.720,1.050,0.1710,-10589,-3.071,16.70,0.0,0.077,0.077,10.021
1777741143.6805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.460,1.030,0.1750,-11093,-3.218,16.70,0.0,0.220,0.512,10.031
1777741143.7005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.470,1.070,0.1830,-11591,-3.362,16.70,0.0,0.230,0.584,9.811
1777741143.7205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.740,1.170,0.1900,-12099,-3.509,16.70,0.0,-0.129,0.297,9.878
1777741143.7405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.800,1.200,0.1980,-12578,-3.648,16.70,0.0,0.326,0.373,9.538
1777741143.7606,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.450,1.380,0.2040,-13084,-3.795,16.70,0.0,0.311,0.311,10.108
1777741143.7805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.390,1.190,0.2110,-13594,-3.943,16.70,0.0,0.134,0.555,9.849
1777741143.8005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.290,1.440,0.2170,-14096,-4.089,16.70,0.0,0.278,0.455,10.045
1777741143.8205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.190,1.450,0.2210,-14584,-4.230,16.70,0.0,-0.172,0.508,10.088
1777741143.8405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.550,1.560,0.2300,-15091,-4.377,16.70,0.0,0.206,0.402,10.074
1777741143.8605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.060,1.510,0.2360,-15585,-4.521,16.70,0.0,0.474,0.345,9.701
1777741143.8805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.460,1.640,0.2420,-16087,-4.666,16.70,0.0,0.172,0.555,10.151
1777741143.9005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,9.160,1.850,0.2520,-16563,-4.804,16.70,0.0,0.235,0.431,9.672
1777741143.9207,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,8.070,1.590,0.2550,-17088,-4.957,16.70,0.0,0.139,0.498,9.998
