wall_t,launch_t,active,armed,mode,cmd_speed_pub,cmd_steer_pub,mux_jerk,mux_speed_cmd,mux_accel_cmd,mux_target_I_A,vesc_cmd_current_A,I_motor_actual,I_input_actual,duty_actual,erpm_actual,v_mps_actual,V_input_actual,temperature_pcb,imu_acc_x,imu_acc_y,imu_acc_z
1777741412.0006,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.000,0.000,-0.0010,0,0.000,16.70,0.0,0.153,0.450,9.959
1777741412.0205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.150,0.000,0.0000,0,0.000,16.70,0.0,0.225,0.464,9.844
1777741412.0405,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,0.240,0.000,0.0000,0,0.000,16.70,0.0,0.172,0.460,9.930
1777741412.0605,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,25.920,1.260,0.0470,-431,-0.125,16.70,0.0,0.196,0.546,9.710
1777741412.0805,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,15.100,0.720,0.0740,-990,-0.287,16.70,0.0,0.426,0.287,10.452
1777741412.1005,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.600,0.160,0.0570,-1828,-0.530,16.70,0.0,0.235,0.685,9.787
1777741412.1205,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.030,0.150,0.0720,-2461,-0.714,16.70,0.0,0.062,0.517,10.280
1777741412.1406,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,3.990,0.210,0.0680,-3091,-0.897,16.70,0.0,0.340,0.445,9.442
1777741412.1607,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.970,0.410,0.0910,-3500,-1.015,16.70,0.0,-0.201,0.326,9.145
1777741412.1808,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,7.830,0.510,0.0900,-4081,-1.184,16.70,0.0,0.110,0.292,10.989
1777741412.2007,0.0000,0,0,IDLE,6.000,0.0000,0,0.000,0.0000,0.00,0.000,6.640,0.460,0.1010,-4572,-1.326,16.70,0.0,0.345,0.622,9.437
