i_segment	zeta	trajectory__rho	trajectory__theta	trajectory__y	trajectory__x	theta	banking	elevation	torsion	width_R	curvature	upsilon	width_L	slope	Y	X	lagrange_target	inequality_penalties	penalties	control_penalties	a__x__ctrl	Omega__ctrl	a__x__ctrl_cell	Omega__ctrl_cell	n	xi	v__x	v__y	Omega	a__x	lambda1__xo	lambda2__xo	lambda3__xo	lambda4__xo	lambda5__xo	lambda6__xo	penalty_scale	penalty_scale_cell	time	curv_ss	curv_ss_cell	curv_trans	curv_trans_cell	ay	ay_cell	curv_trans_2d	curv_trans_2d_cell	ax_2d	ax_2d_cell	ay_2d	ay_2d_cell	Xi	Xi_cell	Omega__bound__min	Omega__bound__min_cell	Omega__bound__max	Omega__bound__max_cell	ax__bound__min	ax__bound__min_cell	ax__bound__max	ax__bound__max_cell	GGVDiagram__penalty	GGVDiagram__penalty_cell	ax_max_wheeling_func	ax_max_wheeling_func_cell	ax_max_adherence_func	ax_max_adherence_func_cell	ax_min_stoppie_func	ax_min_stoppie_func_cell	ax_min_adherence_func	ax_min_adherence_func_cell	ax_max_engine_func	ax_max_engine_func_cell	ax_max_wheeling_pcell	ax_max_adherence_pcell	ax_max_power_pcell	ax_min_stoppie_pcell	ax_min_adherence_pcell	ay_max_adherence_pcell	ay_min_adherence_pcell	racetrack__right_border_pcell	racetrack__left_border_pcell	Omega__ctrlControl_pcell	a__x__ctrlControl_pcell
0	0	2.95408e-06	-2.13405	0	0	-2.13405	0	0	0	6.28775	2.95408e-06	0	6.27645	0	0	0	0.0127407800833	0.000126040602679	0	2.66362448086e-06	3.52279968937	0.00492949172641	3.52279968937	0.00492949172641	0.498804123402	-0.00025558159458	78.4663650851	0	0.00526367223172	3.56138744582	2.12235496673e-06	0.00102267953063	-0.035995376214	3.08753871823e-06	0.0017938476375	1.62420826975e-05	0.0127442957001	0.0127406190568	0	6.70818920439e-05	6.66164294942e-05	6.70818920439e-05	6.66164294942e-05	0.413021227022	0.410392328716	6.70818920439e-05	6.66164294942e-05	3.56138744582	3.55702640337	0.413021227022	0.410392328716	-0.00025558159458	-0.000223515410506	-1	-1	1	1	-20	-20	20	20	0	0	9.4241904097	9.4235170712	8.50278725023	8.498645934	-11.9207893144	-11.9212230165	-16.4414141907	-16.4436214774	3.69751988598	3.69325169479	0.000328941265087	0.000389307378729	0.00837297582398	0.000125960194338	9.76180213632e-05	0.000146181100651	0.000137756788258	0.000133554126413	0.000160521507149	5.20196858634e-08	0.000209013526422
0	1.00008	2.02414099555e-06	-2.13404751069	-0.845590670875	-0.533981669844	-2.13404558617	0	0	0	6.28302676066	9.17104363773e-07	0	6.27644641001	0	-0.845583901656	-0.533977083941	0.012733442132	0.000125877972032	0	2.64889354578e-06	3.51848935446	0.00489638958527	3.51417901956	0.00486328744413	0.498580590384	-0.000191449226431	78.511687429	0	0.00519364513573	3.55266536093	2.02402528975e-06	0.00102311861047	-0.0359381148304	3.2213919721e-06	0.00177229651691	1.61748410563e-05	0.0127369445477	0.0127332832394	0.0127416383063	6.61512356415e-05	6.56914839795e-05	6.61512356415e-05	6.56914839795e-05	0.407761843513	0.405160976702	6.61512356415e-05	6.56914839795e-05	3.55266536093	3.54831796296	0.407761843513	0.405160976702	-0.000191449226431	-0.000159380207023	-1	-1	1	1	-20	-20	20	20	0	0	9.4228442456	9.42217497497	8.49450123434	8.49036276454	-11.9216575899	-11.9220927946	-16.4458289562	-16.4480293373	3.68898411933	3.68473001241	0.000328535519605	0.000389274530245	0.008366307849	0.000126023614625	9.76389134114e-05	0.000146124146136	0.000137807405737	0.000133644729075	0.000160386793322	5.0631780966e-08	0.000207978475558
0	2.00017	1.09419269246e-06	-2.13404595138	-1.69119087793	-1.06796696732	-2.13404267295	0	0	0	6.28001113672	-2.27639491447e-07	0	6.28443909378	0	-1.69118528844	-1.06796129474	0.0127261348465	0.000125712526432	0	2.63425953029e-06	3.50988213933	0.00483057906458	3.50558525911	0.00479787068503	0.498421195955	-0.000127311187616	78.556873233	0	0.00512442170069	3.543970565	1.91638767341e-06	0.0010229397653	-0.0358807248888	3.35264503599e-06	0.00175086045261	1.6108056529e-05	0.0127296240492	0.0127259780572	0.0254760675412	6.52319967661e-05	6.4777929933e-05	6.52319967661e-05	6.4777929933e-05	0.402558545934	0.399985692469	6.52319967661e-05	6.4777929933e-05	3.543970565	3.53963682511	0.402558545934	0.399985692469	-0.000127311187616	-9.52342783065e-05	-1	-1	1	1	-20	-20	20	20	0	0	9.42150620437	9.42084096061	8.48622096338	8.4820855432	-11.9225288552	-11.9229655053	-16.4502299155	-16.452423395	3.6804765154	3.67623650757	0.000328131828644	0.000389243336338	0.00835961932061	0.000126086853816	9.76597487778e-05	0.000146067845693	0.000137857517331	0.000133699597685	0.000160051615085	4.92788188025e-08	0.000206949312444
0	3.00025	1.64253688015e-07	-2.13404532211	-2.53678321408	-1.6019460001	-2.13404091919	0	0	0	6.27836822452	-7.14838621023e-07	0	6.2970831538	0	-2.53678333028	-1.60194104001	0.0127188580808	0.000125545702764	0	2.61972170395e-06	3.50130178858	0.00476555380404	3.49701831805	0.00473323692305	0.498325954088	-6.31573689975e-05	78.6019221772	0	0.00505599973674	3.53530308522	1.80031188561e-06	0.00102215175165	-0.0358232075497	3.48130131014e-06	0.00172954643355	1.60417199256e-05	0.0127223341675	0.0127187033642	0.0382030636767	6.43241233381e-05	6.38756998988e-05	6.43241233381e-05	6.38756998988e-05	0.397411297835	0.394866350132	6.43241233381e-05	6.38756998988e-05	3.53530308522	3.53098288827	0.397411297835	0.394866350132	-6.31573689975e-05	-3.10665892826e-05	-1	-1	1	1	-20	-20	20	20	0	0	9.42017620414	9.41951492633	8.47794684323	8.47381455112	-11.9234029957	-11.9238410471	-16.4546170766	-16.4568037242	3.67199710386	3.66777108277	0.000327730180764	0.000389213766665	0.00835291021848	0.000126149912914	9.76805275192e-05	0.000146012196492	0.000137907123115	0.000133725939368	0.000159621533517	4.79600458808e-08	0.000205926000423
0	4.00033	-7.65685316431e-07	-2.13404562285	-3.38237563794	-2.13592489398	-2.13404000051	0	0	0	6.27778013196	-7.66572346903e-07	0	6.31124792508	0	-3.38238284282	-2.13592081431	0.012711607812	0.00012537868143	0	2.60527832183e-06	3.49274813781	0.00470130857601	3.48847795757	0.00466938022897	0.498294885008	1.02419043228e-06	78.6468352939	0	0.00498837470494	3.52666269132	1.67615145846e-06	0.00102076258561	-0.0357655622321	3.60735892305e-06	0.00170836069082	1.59758209114e-05	0.0127150746473	0.0127114551373	0.0509227845371	6.34275325421e-05	6.29847096413e-05	6.34275325421e-05	6.29847096413e-05	0.392319883803	0.389802723406	6.34275325421e-05	6.29847096413e-05	3.52666269132	3.52235592293	0.392319883803	0.389802723406	1.02419043228e-06	3.28371473565e-05	-1	-1	1	1	-20	-20	20	20	0	0	9.41885412325	9.41819675099	8.46967903012	8.4655499454	-11.9242799236	-11.9247193322	-16.4589905789	-16.4611704636	3.6635456601	3.65933351577	0.000327330558689	0.000389185790643	0.00834618040919	0.000126212793861	9.77012500003e-05	0.000145957194639	0.000137956224154	0.000133730204126	0.000159186075874	4.66746935758e-08	0.000204908485333
0	5.00042	-5.05231506651e-07	-2.13404625888	-4.22797621392	-2.66990960725	-2.13403964807	0	0	0	6.27798488788	-5.63431008114e-07	0	6.32450504437	0	-4.22798953511	-2.66990534061	0.0127043838993	0.00012521236796	0	2.59092866862e-06	3.48422101903	0.00463783789272	3.47996408049	0.00460629555646	0.498327725121	6.46501042807e-05	78.6916135929	0	0.00492154181361	3.51804915453	1.55052010006e-06	0.00101877999371	-0.0357077883494	3.73081240343e-06	0.00168730935978	1.59103512345e-05	0.0127078376996	0.0127042332357	0.0636353837054	6.25421387223e-05	6.21048852688e-05	6.25421387223e-05	6.21048852688e-05	0.387284066678	0.384794639446	6.25421387223e-05	6.21048852688e-05	3.51804915453	3.51375582995	0.387284066678	0.384794639446	6.46501042807e-05	9.589229885e-05	-1	-1	1	1	-20	-20	20	20	0	0	9.41753984107	9.41688633394	8.46141768196	8.45729200696	-11.9251595509	-11.9256002597	-16.46335056	-16.4655236848	3.65512196423	3.65092371349	0.000326932951283	0.000389159378248	0.0083394298045	0.000126275497654	9.77219162771e-05	0.000145902836843	0.000138004821008	0.000133717691949	0.00015881143094	4.5422024957e-08	0.000203896730214
0	6.0005	-2.43755776709e-07	-2.1340466334	-5.07356806484	-3.20388940841	-2.13403964643	0	0	0	6.27877091868	-2.47092695683e-07	0	6.33508783664	0	-5.07358436904	-3.20388355923	0.0126971899688	0.000125047467012	0	2.57667282042e-06	3.47572034222	0.00457513667207	3.47147660395	0.00454397778767	0.49842362511	0.000127134493419	78.7362567376	0	0.00485549801137	3.50946250537	1.42972962114e-06	0.00101621187076	-0.0356498870335	3.85165381115e-06	0.00166639910114	1.58453124994e-05	0.0127006308276	0.0126970412852	0.0763406332797	6.16678797361e-05	6.12361499732e-05	6.16678797361e-05	6.12361499732e-05	0.382303738012	0.37984190407	6.16678797361e-05	6.12361499732e-05	3.50946250537	3.50518251149	0.382303738012	0.37984190407	0.000127134493419	0.000157811533435	-1	-1	1	1	-20	-20	20	20	0	0	9.41623327691	9.41558357488	8.45316320289	8.44904101382	-11.9260417638	-11.9264837295	-16.467697026	-16.4698634598	3.64672604994	3.64254158247	0.000326537347552	0.000389134499837	0.0083326583762	0.000126338025283	9.77425263985e-05	0.000145849119606	0.00013805291446	0.000133692834941	0.00015854601455	4.42013148458e-08	0.000202890700017
0	7.00058	1.77199532315e-08	-2.13404674643	-5.9191597856	-3.73786941571	-2.13403981244	0	0	0	6.27995586558	6.39044250153e-08	0	6.34162471168	0	-5.91917395897	-3.73786057638	0.0126900257695	0.000124884455024	0	2.56250984206e-06	3.46724595171	0.00451319912713	3.46301529948	0.00448242046659	0.498581449278	0.000188488573451	78.7807657451	0	0.00479023800072	3.50090251762	1.31317573199e-06	0.00101306642717	-0.0355918576564	3.96988368986e-06	0.00164563582946	1.57807054049e-05	0.0126934537824	0.0126898790351	0.0890386903282	6.0804664126e-05	6.03784110742e-05	6.0804664126e-05	6.03784110742e-05	0.377378617798	0.374944227575	6.0804664126e-05	6.03784110742e-05	3.50090251762	3.49663574167	0.377378617798	0.374944227575	0.000188488573451	0.000218606258259	-1	-1	1	1	-20	-20	20	20	0	0	9.41493431091	9.41428835445	8.44491574459	8.44079711687	-11.9269264758	-11.9273696553	-16.4720301147	-16.4741899258	3.63835769667	3.63418690322	0.000326143730684	0.000389111125744	0.00832586602641	0.000126400378674	9.77630807202e-05	0.000145796038418	0.00013810050624	0.000133659297735	0.00015842423398	4.30118254357e-08	0.000201890342699
0	8.00067	2.79198297721e-07	-2.13404659796	-6.76475997106	-4.27185474739	-2.13403999973	0	0	0	6.28139735952	2.79396596472e-07	0	6.34322177346	0	-6.76476571852	-4.27184163634	0.0126828921553	0.000124723587219	0	2.54843923137e-06	3.45879768681	0.00445201917284	3.45458007414	0.00442161787909	0.498800075199	0.000248723943068	78.8251416232	0	0.00472575626209	3.49236896572	1.20009498627e-06	0.00100935241138	-0.035533699577	4.08550983383e-06	0.00162502535222	1.57165280581e-05	0.0126863063114	0.0126827473391	0.101729711452	5.99523979885e-05	5.95315860469e-05	5.99523979885e-05	5.95315860469e-05	0.372508406636	0.370101372982	5.99523979885e-05	5.95315860469e-05	3.49236896572	3.48811542331	0.372508406636	0.370101372982	0.000248723943068	0.000278366021098	-1	-1	1	1	-20	-20	20	20	0	0	9.41364282417	9.4130005734	8.43667545715	8.43256058831	-11.927813601	-11.9282579384	-16.4763499627	-16.4785031547	3.63001668599	3.62585958256	0.000325752089887	0.000389089226928	0.00831905274313	0.000126462558815	9.778357929e-05	0.00014574358937	0.000138147597578	0.000133619638444	0.000158463296122	4.18528472429e-08	0.000200895622546
0	9.00075	2.25136013478e-07	-2.1340463455	-7.61035182239	-4.80583454791	-2.13404010873	0	0	0	6.28301185344	3.4775776821e-07	0	6.33963214788	0	-7.61034326505	-4.80581611717	0.0126757890912	0.000124564744695	0	2.53446049441e-06	3.45037551647	0.0043915914033	3.44617095879	0.00436156492751	0.499078463461	0.000308008099129	78.8693840489	0	0.00466204896208	3.4838618809	1.08788127285e-06	0.00100507936083	-0.0354754138905	4.19854570598e-06	0.00160457397274	1.56527794336e-05	0.0126791903745	0.0126756461622	0.114413473411	5.91110101632e-05	5.86956019141e-05	5.91110101632e-05	5.86956019141e-05	0.367692930045	0.365313153126	5.91110101632e-05	5.86956019141e-05	3.4838618809	3.47962158704	0.367692930045	0.365313153126	0.000308008099129	0.000337258444359	-1	-1	1	1	-20	-20	20	20	0	0	9.41235873711	9.41172015224	8.42844273505	8.4243318212	-11.9287030278	-11.9291484674	-16.4806565768	-16.4828031533	3.62170304994	3.61755965198	0.00032536242029	0.000389068774928	0.00831221862675	0.000126524565764	9.78040218486e-05	0.000145691769114	0.00013819418924	0.000133574540813	0.000158653383094	4.07236956015e-08	0.000199906518596
