,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
62,12.382788,4.191579,0.102407,-0.337903,-3.833659,-5.030261,3.120259,-3.165853,16.632638
63,12.582510,3.994367,0.027418,-0.373574,-3.669637,-5.196679,3.350477,-3.189112,16.632638
64,12.782233,3.796841,-0.054116,-0.402611,-3.484628,-5.372778,3.635279,-3.250149,16.632638
65,12.981955,3.604265,-0.138540,-0.419372,-3.277574,-5.557896,4.008228,-3.393168,16.632638
66,13.181677,3.423855,-0.220357,-0.418623,-3.048974,-5.751418,4.518284,-3.620985,16.632638
67,13.381400,3.262495,-0.293846,-0.397261,-2.799662,-5.951218,5.229006,-3.826102,16.632638
68,13.581122,3.124076,-0.355140,-0.356012,-2.527947,-6.150034,6.086998,-3.905340,16.632638
69,13.780845,3.008593,-0.403230,-0.299782,-2.232628,-6.339507,6.990034,-3.772136,16.632638
70,13.980567,2.913972,-0.439011,-0.234344,-1.913588,-6.511675,7.789169,-3.418500,16.632638
71,14.180289,2.837684,-0.464033,-0.165618,-1.572699,-6.661284,8.217567,-2.971094,16.632638
72,14.380012,2.777059,-0.480262,-0.103198,-1.215316,-6.790497,8.262849,-2.458905,16.632638
73,14.579734,2.730978,-0.489844,-0.055728,-0.845862,-6.900441,8.195641,-1.695615,16.632638
74,14.779456,2.700542,-0.494735,-0.024575,-0.465387,-6.979159,8.079847,-0.721486,16.632638
75,14.979179,2.687509,-0.496657,-0.007304,-0.077380,-7.013806,7.960446,0.638486,16.632638
76,15.178901,2.693275,-0.496972,0.001926,0.312706,-6.982518,7.943931,1.679933,16.632638
77,15.378624,2.717736,-0.495941,0.016077,0.697434,-6.901158,8.154313,2.309073,16.632638
78,15.578346,2.758719,-0.492116,0.048407,1.074615,-6.794351,8.470752,2.735942,16.632638
79,15.778068,2.813580,-0.483124,0.104355,1.443682,-6.675147,8.610014,3.104713,16.632638
80,15.977791,2.881257,-0.466442,0.180526,1.802670,-6.545699,8.176452,3.603858,16.632638
81,16.177513,2.963614,-0.439422,0.266245,2.143919,-6.395290,7.139650,4.012370,16.632638
82,16.377236,3.065528,-0.398963,0.346229,2.460010,-6.217651,5.897999,4.062686,16.632638
83,16.576958,3.193305,-0.342315,0.403462,2.749348,-6.018348,4.916097,3.813621,16.632638
84,16.776680,3.349884,-0.270174,0.426191,3.016361,-5.811216,4.279893,3.599547,16.632638
85,16.976403,3.530382,-0.189063,0.414010,3.262431,-5.604262,3.898245,3.552191,16.632638
86,17.176125,3.724215,-0.108545,0.376942,3.486355,-5.400216,3.630740,3.653490,16.632638
87,17.375847,3.921878,-0.035711,0.328296,3.686461,-5.198855,3.396038,3.810710,16.632638
88,17.575570,4.118321,0.026679,0.277681,3.863192,-5.000544,3.227006,3.900896,16.632638
89,17.775292,4.311787,0.078522,0.229671,4.021553,-4.809114,3.108709,3.913869,16.632638
90,17.975015,4.502052,0.120732,0.186460,4.166035,-4.627211,2.959675,3.915380,16.632638
91,18.174737,4.689462,0.154642,0.149445,4.297114,-4.453805,2.336077,4.257921,16.632638
92,18.374459,4.873911,0.181665,0.118726,4.396244,-4.273123,1.545912,4.692292,16.632638
93,18.574182,5.054561,0.203003,0.093065,4.459316,-4.081680,0.757947,5.106131,16.632638
94,18.773904,5.230262,0.219429,0.069953,4.489080,-3.881164,-0.024792,5.503634,16.632638
95,18.973627,5.400042,0.231217,0.047388,4.488143,-3.672991,-0.799258,5.873177,16.632638
96,19.173349,5.563532,0.238507,0.025659,4.458933,-3.458350,-1.559258,6.211563,16.632638
97,19.373071,5.720552,0.241587,0.005370,4.403682,-3.238248,-2.303789,6.535175,16.632638
98,19.572794,5.870608,0.240653,-0.015014,4.324468,-3.013540,-3.032513,6.849165,16.632638
99,19.772516,6.013241,0.235491,-0.037529,4.223263,-2.784961,-3.730797,7.126581,16.632638
100,19.972238,6.148646,0.225728,-0.061121,4.101904,-2.553140,-4.381977,7.348149,16.632638
101,20.171961,6.277328,0.211436,-0.082481,3.962050,-2.318620,-4.992265,7.536468,16.632638
102,20.371683,6.399327,0.193198,-0.100487,3.805226,-2.081873,-5.575275,7.717454,16.632638
103,20.571406,6.514287,0.171530,-0.117037,3.632889,-1.843319,-6.131973,7.893684,16.632638
104,20.771128,6.621901,0.146469,-0.135152,3.446463,-1.603334,-6.642876,8.041727,16.632638
105,20.970850,6.722235,0.117525,-0.155446,3.247320,-1.362256,-7.086043,8.139198,16.632638
106,21.170573,6.815603,0.084489,-0.173580,3.036753,-1.120393,-7.476381,8.207984,16.632638
107,21.370295,6.902013,0.048294,-0.184128,2.815991,-0.878028,-7.847052,8.286322,16.632638
108,21.570018,6.981094,0.010832,-0.185026,2.586251,-0.635427,-8.210474,8.386446,16.632638
109,21.769740,7.052470,-0.025902,-0.177811,2.348752,-0.392839,-8.549518,8.489760,16.632638
110,21.969462,7.116033,-0.060642,-0.167540,2.104702,-0.150494,-8.829895,8.562452,16.632638
111,22.169185,7.171965,-0.093460,-0.159904,1.855268,0.091385,-9.039502,8.594236,16.632638
112,22.368907,7.220474,-0.125226,-0.156618,1.601573,0.332584,-9.179508,8.587641,16.632638
113,22.568629,7.261696,-0.156872,-0.157843,1.344702,0.572892,-9.264191,8.556911,16.632638
114,22.768352,7.295667,-0.189259,-0.161944,1.085725,0.812097,-9.323089,8.529493,16.632638
115,22.968074,7.322323,-0.222504,-0.165293,0.825700,1.049989,-9.363183,8.511315,16.632638
116,23.167797,7.341642,-0.256104,-0.165576,0.565677,1.286355,-9.395873,8.512161,16.632638
117,23.367519,7.353665,-0.289114,-0.160793,0.306689,1.520984,-9.389976,8.503188,16.632638
118,23.567241,7.358542,-0.320492,-0.151856,0.049737,1.753670,-9.289734,8.433318,16.632638
119,23.766964,7.356431,-0.349972,-0.142604,-0.204190,1.984188,-9.116738,8.321261,16.632638
120,23.966686,7.347408,-0.377794,-0.134497,-0.454106,2.212297,-8.921842,8.212461,16.632638
121,24.166409,7.331580,-0.403990,-0.125972,-0.699028,2.437745,-8.719074,8.119221,16.632638
122,24.366131,7.309147,-0.428170,-0.115140,-0.937992,2.660269,-8.488810,8.022728,16.632638
123,24.565853,7.280331,-0.449774,-0.101461,-1.170068,2.879602,-8.185067,7.878257,16.632638
124,24.765576,7.245201,-0.468460,-0.086704,-1.394327,3.095456,-7.791699,7.667457,16.632638
125,24.965298,7.203661,-0.484389,-0.073279,-1.609808,3.307500,-7.359238,7.436715,16.632638
126,25.165020,7.155789,-0.497854,-0.061064,-1.815513,3.515371,-6.925366,7.222590,16.632638
127,25.364743,7.101941,-0.508832,-0.048088,-2.010453,3.718677,-6.480520,7.015057,16.632638
128,25.564465,7.042510,-0.516976,-0.032971,-2.193676,3.917013,-5.999424,6.785794,16.632638
129,25.764188,6.977714,-0.521865,-0.015805,-2.364251,4.109947,-5.471816,6.520036,16.632638
130,25.963910,6.907633,-0.523194,0.002593,-2.521234,4.297003,-4.906021,6.222936,16.632638
131,26.163632,6.832378,-0.520781,0.021709,-2.663650,4.477647,-4.315048,5.905869,16.632638
132,26.363355,6.752207,-0.514467,0.041727,-2.790505,4.651269,-3.706893,5.576260,16.632638
133,26.563077,6.667530,-0.504015,0.063371,-2.900809,4.817199,-3.075609,5.221992,16.632638
134,26.762800,6.578634,-0.489060,0.086693,-2.993578,4.974709,-2.407278,4.811369,16.632638
135,26.962522,6.485249,-0.469318,0.109288,-3.067754,5.122963,-1.709037,4.338848,16.632638
136,27.162244,6.386817,-0.445053,0.127190,-3.122109,5.260958,-1.007073,3.843900,16.632638
137,27.361967,6.283480,-0.417303,0.138589,-3.155266,5.387513,-0.312287,3.357822,16.632638
138,27.561689,6.176364,-0.387395,0.145093,-3.165850,5.501314,0.381651,2.879223,16.632638
139,27.761411,6.066997,-0.356254,0.149865,-3.152638,5.600987,1.081554,2.391529,16.632638
140,27.961134,5.956764,-0.324117,0.155555,-3.114591,5.685116,1.786378,1.878546,16.632638
141,28.160856,5.846675,-0.290723,0.162945,-3.050796,5.752202,2.127568,1.788699,16.632638
