,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
62,12.382788,4.658057,0.143880,-0.300413,-4.124846,-6.715219,2.896554,-6.189615,15.528496
63,12.582510,4.467838,0.076396,-0.340901,-3.989035,-7.005433,3.686343,-5.533169,15.528496
64,12.782233,4.275989,0.000843,-0.375414,-3.807618,-7.277738,4.503247,-4.908054,15.528496
65,12.981955,4.088084,-0.079638,-0.398113,-3.578489,-7.527463,5.412703,-4.338748,15.528496
66,13.181677,3.911914,-0.159840,-0.403384,-3.301283,-7.749668,6.120593,-4.326396,15.528496
67,13.381400,3.754847,-0.233838,-0.387691,-2.995963,-7.965486,6.926581,-4.475535,15.528496
68,13.581122,3.620963,-0.297087,-0.351432,-2.668534,-8.177051,7.910912,-4.464449,15.528496
69,13.780845,3.510529,-0.347759,-0.299186,-2.318148,-8.374788,8.952188,-4.193645,15.528496
70,13.980567,3.421706,-0.386110,-0.236434,-1.945117,-8.549534,9.869051,-3.677219,15.528496
71,14.180289,3.352077,-0.413293,-0.168842,-1.552140,-8.695958,10.342085,-3.147105,15.528496
72,14.380012,3.299118,-0.431036,-0.105589,-1.146180,-8.819492,10.373852,-2.568381,15.528496
73,14.579734,3.261638,-0.441354,-0.054883,-0.732188,-8.921989,10.334124,-1.278277,15.528496
74,14.779456,3.240300,-0.446058,-0.017965,-0.308374,-8.974412,10.151009,-0.006367,15.528496
75,14.979179,3.236314,-0.446656,0.007355,0.119013,-8.974680,9.909049,1.221535,15.528496
76,15.178901,3.250489,-0.444308,0.025959,0.543218,-8.922387,9.761711,2.419342,15.528496
77,15.378624,3.282346,-0.439249,0.049101,0.957621,-8.819681,9.838709,3.182718,15.528496
78,15.578346,3.329927,-0.430170,0.088462,1.361365,-8.689074,10.106198,3.298512,15.528496
79,15.778068,3.391433,-0.414757,0.148597,1.759689,-8.559067,10.107703,3.425668,15.528496
80,15.977791,3.466858,-0.390263,0.226006,2.149710,-8.426882,9.415686,3.887355,15.528496
81,16.177513,3.558791,-0.353571,0.310549,2.520411,-8.273835,8.139293,4.331715,15.528496
