%time,field.data
5982448000000,0
5982448000000,0
5982448000000,0
5982448000000,0
5982448000000,0
5982448000000,0
5982448000000,0
5982448000000,0
5982482000000,0
5982482000000,0
5982482000000,0
5982499000000,0
5982499000000,0
5982499000000,0
5982499000000,0
5982499000000,0
5982533000000,0
5982533000000,0
5982533000000,0
5982533000000,0
5982533000000,0
5982533000000,0
5982533000000,0
5982533000000,0
5982533000000,0
5982533000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982550000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982567000000,0
5982601000000,0
5982601000000,0
5982601000000,0
5982601000000,0
5982601000000,0
5982601000000,0
5982601000000,0
5982601000000,0
5982601000000,0
5982635000000,0
5982635000000,0
5982635000000,0
5982635000000,0
5982635000000,0
5982635000000,0
5982635000000,0
5982635000000,0
5982635000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982652000000,0
5982687000000,0
5982687000000,0
5982687000000,0
5982687000000,0
5982687000000,0
5982687000000,0
5982687000000,0
5982687000000,0
5982687000000,0
5982704000000,0
5982704000000,0
5982704000000,0
5982721000000,0
5982721000000,0
5982721000000,0
5982721000000,0
5982721000000,0
5982738000000,0
5982738000000,0
5982738000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982755000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982772000000,0
5982789000000,0
5982789000000,0
5982789000000,0
5982789000000,0
5982789000000,0
5982789000000,0
5982789000000,0
5982806000000,0
5982806000000,0
5982806000000,0
5982806000000,0
5982806000000,0
5982806000000,0
5982840000000,0
5982840000000,0
5982840000000,0
5982840000000,0
5982840000000,0
5982840000000,0
5982840000000,0
5982840000000,0
5982840000000,0
5982840000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982857000000,0
5982875000000,0
