%time,field.data
5985076000000,OK obs=merge:P20+T0:2
5985076000000,OK obs=merge:P20+T0:2
5985127000000,OK obs=merge:P20+T0:2
5985144000000,OK obs=merge:P20+T0:2
5985195000000,OK obs=merge:P20+T0:2
5985246000000,OK obs=merge:P20+T0:2
5985263000000,OK obs=merge:P20+T0:2
5985297000000,OK obs=merge:P20+T0:2
5985348000000,OK obs=merge:P20+T0:2
5985365000000,OK obs=merge:P20+T0:2
5985399000000,OK obs=merge:P20+T0:2
5985433000000,OK obs=merge:P20+T0:2
5985467000000,OK obs=merge:P20+T0:2
5985501000000,OK obs=merge:P20+T0:2
5985552000000,OK obs=merge:P20+T0:2
5985569000000,OK obs=merge:P20+T0:2
5985603000000,OK obs=merge:P20+T0:2
5985637000000,OK obs=merge:P20+T0:2
5985637000000,OK obs=merge:P20+T0:2
5985688000000,OK obs=merge:P20+T0:2
5985688000000,OK obs=merge:P20+T0:2
5985756000000,OK obs=merge:P20+T0:2
5985790000000,OK obs=merge:P20+T0:2
5985807000000,OK obs=merge:P20+T0:2
5985841000000,OK obs=merge:P20+T0:2
5985899000000,OK obs=merge:P20+T0:2
5985933000000,OK obs=merge:P20+T0:2
5985967000000,OK obs=merge:P20+T0:2
5986018000000,OK obs=merge:P20+T0:2
5986052000000,OK obs=merge:P20+T0:2
5986052000000,OK obs=merge:P20+T0:2
5986105000000,OK obs=merge:P20+T0:2
5986139000000,OK obs=merge:P20+T0:2
5986139000000,OK obs=merge:P20+T0:2
5986224000000,OK obs=merge:P20+T0:2
5986241000000,OK obs=merge:P20+T0:2
5986264000000,OK obs=merge:P20+T0:2
5986315000000,OK obs=merge:P20+T0:2
5986332000000,OK obs=merge:P20+T0:2
5986360000000,OK obs=merge:P20+T0:2
5986394000000,OK obs=merge:P20+T0:2
5986445000000,OK obs=merge:P20+T0:2
5986462000000,OK obs=merge:P20+T0:2
5986547000000,OK obs=merge:P20+T0:2
5986564000000,OK obs=merge:P20+T0:2
5986581000000,OK obs=merge:P20+T0:2
5986615000000,OK obs=merge:P20+T0:2
5986649000000,OK obs=merge:P20+T0:2
5986649000000,OK obs=merge:P20+T0:2
5986703000000,OK obs=merge:P20+T0:2
5986737000000,OK obs=merge:P20+T0:2
5986756000000,OK obs=merge:P20+T0:2
5986807000000,OK obs=merge:P20+T0:2
5986841000000,OK obs=merge:P20+T0:2
5986856000000,OK obs=merge:P20+T0:2
5986890000000,OK obs=merge:P20+T0:2
5986941000000,OK obs=merge:P20+T0:2
5986958000000,OK obs=merge:P20+T0:2
5987009000000,OK obs=merge:P20+T0:2
5987043000000,OK obs=merge:P20+T0:2
5987063000000,OK obs=merge:P20+T0:2
5987097000000,OK obs=merge:P20+T0:2
5987114000000,OK obs=merge:P20+T0:2
5987148000000,OK obs=merge:P20+T0:2
5987182000000,OK obs=merge:P20+T0:1
5987199000000,OK obs=merge:P20+T0:1
5987250000000,OK obs=merge:P20+T0:2
5987284000000,OK obs=merge:P20+T0:1
5987335000000,OK obs=merge:P20+T0:1
5987369000000,OK obs=merge:P20+T0:1
5987386000000,OK obs=merge:P20+T0:1
5987420000000,OK obs=merge:P20+T0:1
5987454000000,OK obs=merge:P20+T0:1
5987488000000,OK obs=merge:P20+T0:1
5987522000000,OK obs=merge:P20+T0:1
5987556000000,OK obs=empty
5987624000000,OK obs=empty
5987661000000,OK obs=merge:P20+T0:2
5987661000000,OK obs=merge:P20+T0:2
5987712000000,OK obs=merge:P20+T0:2
5987729000000,OK obs=merge:P20+T0:2
5987765000000,OK obs=merge:P20+T0:2
5987799000000,OK obs=merge:P20+T0:2
5987833000000,OK obs=merge:P20+T0:2
5987850000000,OK obs=merge:P20+T0:2
5987884000000,OK obs=merge:P20+T0:2
5987935000000,OK obs=merge:P20+T0:2
5987952000000,OK obs=merge:P20+T0:2
5987986000000,OK obs=merge:P20+T0:2
5988037000000,OK obs=merge:P20+T0:2
5988054000000,OK obs=merge:P20+T0:2
5988089000000,OK obs=merge:P20+T0:2
5988140000000,OK obs=merge:P20+T0:2
5988174000000,OK obs=merge:P20+T0:2
5988208000000,OK obs=merge:P20+T0:2
5988208000000,OK obs=merge:P20+T0:2
5988276000000,OK obs=merge:P20+T0:2
5988293000000,OK obs=merge:P20+T0:2
5988327000000,OK obs=merge:P20+T0:2
5988355000000,OK obs=merge:P20+T0:2
5988391000000,OK obs=merge:P20+T0:2
5988425000000,OK obs=merge:P20+T0:2
5988459000000,OK obs=merge:P20+T0:2
5988493000000,OK obs=merge:P20+T0:2
5988527000000,OK obs=merge:P20+T0:2
5988584000000,OK obs=merge:P20+T0:2
5988618000000,OK obs=merge:P20+T0:2
5988618000000,OK obs=merge:P20+T0:2
5988652000000,OK obs=merge:P20+T0:2
5988720000000,OK obs=merge:P20+T0:2
5988720000000,OK obs=merge:P20+T0:2
5988754000000,OK obs=merge:P20+T0:2
5988788000000,OK obs=merge:P20+T0:2
5988822000000,OK obs=merge:P20+T0:2
5988856000000,OK obs=merge:P20+T0:2
5988907000000,OK obs=merge:P20+T0:2
5988907000000,OK obs=merge:P20+T0:2
5988958000000,OK obs=merge:P20+T0:2
5989009000000,OK obs=merge:P20+T0:2
5989043000000,OK obs=merge:P20+T0:2
5989060000000,OK obs=merge:P20+T0:2
5989094000000,OK obs=merge:P20+T0:2
5989145000000,OK obs=merge:P20+T0:2
5989169000000,OK obs=merge:P20+T0:2
5989203000000,OK obs=merge:P20+T0:2
5989220000000,OK obs=merge:P20+T0:2
5989254000000,OK obs=merge:P20+T0:2
5989305000000,OK obs=merge:P20+T0:2
5989339000000,OK obs=merge:P20+T0:2
5989352000000,OK obs=merge:P20+T0:2
5989386000000,OK obs=merge:P20+T0:2
5989437000000,OK obs=merge:P20+T0:2
5989454000000,OK obs=merge:P20+T0:2
5989541000000,OK obs=merge:P20+T0:2
5989541000000,OK obs=merge:P20+T0:2
5989558000000,OK obs=merge:P20+T0:2
5989594000000,OK obs=merge:P20+T0:2
5989645000000,OK obs=merge:P20+T0:2
5989662000000,OK obs=merge:P20+T0:2
5989696000000,OK obs=merge:P20+T0:2
5989747000000,OK obs=merge:P20+T0:1
5989781000000,OK obs=merge:P20+T0:2
5989798000000,OK obs=merge:P20+T0:2
5989866000000,OK obs=merge:P20+T0:2
5989866000000,OK obs=merge:P20+T0:2
5989883000000,OK obs=merge:P20+T0:2
5989917000000,OK obs=merge:P20+T0:2
5989951000000,OK obs=merge:P20+T0:2
5990002000000,OK obs=merge:P20+T0:2
5990036000000,OK obs=merge:P20+T0:2
5990053000000,OK obs=merge:P20+T0:2
5990127000000,OK obs=merge:P20+T0:2
5990144000000,OK obs=merge:P20+T0:2
5990161000000,OK obs=merge:P20+T0:2
5990212000000,OK obs=merge:P20+T0:2
5990229000000,OK obs=merge:P20+T0:2
5990263000000,OK obs=merge:P20+T0:2
5990297000000,OK obs=merge:P20+T0:2
5990348000000,OK obs=merge:P20+T0:2
5990365000000,OK obs=merge:P20+T0:2
5990416000000,OK obs=merge:P20+T0:2
5990433000000,OK obs=merge:P20+T0:2
5990450000000,OK obs=merge:P20+T0:2
5990484000000,OK obs=merge:P20+T0:2
5990518000000,OK obs=merge:P20+T0:2
5990552000000,OK obs=merge:P20+T0:2
5990637000000,OK obs=merge:P20+T0:2
5990637000000,OK obs=merge:P20+T0:2
5990658000000,OK obs=merge:P20+T0:2
5990695000000,OK obs=merge:P20+T0:2
5990729000000,OK obs=merge:P20+T0:2
5990763000000,OK obs=merge:P20+T0:2
5990797000000,OK obs=merge:P20+T0:2
5990848000000,OK obs=merge:P20+T0:2
5990865000000,OK obs=merge:P20+T0:2
5990916000000,OK obs=merge:P20+T0:2
5990950000000,OK obs=merge:P20+T0:2
5990950000000,OK obs=merge:P20+T0:2
5990984000000,OK obs=merge:P20+T0:2
5991035000000,OK obs=merge:P20+T0:2
5991052000000,OK obs=merge:P20+T0:2
5991103000000,OK obs=merge:P20+T0:2
5991120000000,OK obs=merge:P20+T0:2
5991154000000,OK obs=merge:P20+T0:2
5991188000000,OK obs=merge:P20+T0:2
5991239000000,OK obs=merge:P20+T0:2
5991273000000,OK obs=merge:P20+T0:2
5991290000000,OK obs=merge:P20+T0:2
5991324000000,OK obs=merge:P20+T0:2
5991358000000,OK obs=merge:P20+T0:2
5991426000000,OK obs=merge:P20+T0:2
5991443000000,OK obs=merge:P20+T0:2
5991460000000,OK obs=merge:P20+T0:2
5991494000000,OK obs=merge:P20+T0:2
5991545000000,OK obs=merge:P20+T0:2
5991562000000,OK obs=merge:P20+T0:2
5991630000000,OK obs=merge:P20+T0:2
5991630000000,OK obs=merge:P20+T0:2
5991664000000,OK obs=merge:P20+T0:2
5991715000000,OK obs=merge:P20+T0:2
5991749000000,OK obs=merge:P20+T0:2
5991768000000,OK obs=merge:P20+T0:2
5991785000000,OK obs=merge:P20+T0:2
5991819000000,OK obs=merge:P20+T0:2
5991857000000,OK obs=merge:P20+T0:2
5991908000000,OK obs=merge:P20+T0:2
5991942000000,OK obs=merge:P20+T0:2
5991956000000,OK obs=merge:P20+T0:2
5992007000000,OK obs=merge:P20+T0:2
5992041000000,OK obs=merge:P20+T0:2
5992058000000,OK obs=merge:P20+T0:2
5992128000000,OK obs=merge:P20+T0:2
5992128000000,OK obs=merge:P20+T0:2
5992162000000,OK obs=merge:P20+T0:2
5992213000000,OK obs=merge:P20+T0:2
5992247000000,OK obs=merge:P20+T0:2
5992247000000,OK obs=merge:P20+T0:2
5992264000000,OK obs=merge:P20+T0:2
5992315000000,OK obs=merge:P20+T0:2
5992349000000,OK obs=merge:P20+T0:2
5992400000000,OK obs=merge:P20+T0:2
5992434000000,OK obs=merge:P20+T0:2
5992451000000,OK obs=merge:P20+T0:2
5992502000000,OK obs=merge:P20+T0:2
5992536000000,OK obs=merge:P20+T0:2
5992549000000,OK obs=merge:P20+T0:2
5992619000000,OK obs=merge:P20+T0:2
5992653000000,OK obs=merge:P20+T0:2
5992670000000,OK obs=merge:P20+T0:2
5992721000000,OK obs=merge:P20+T0:2
5992738000000,OK obs=merge:P20+T0:2
5992755000000,OK obs=merge:P20+T0:2
5992806000000,OK obs=merge:P20+T0:2
5992840000000,OK obs=merge:P20+T0:2
5992874000000,OK obs=merge:P20+T0:2
5992891000000,OK obs=merge:P20+T0:2
5992942000000,OK obs=merge:P20+T0:2
5992959000000,OK obs=merge:P20+T0:2
5993010000000,OK obs=merge:P20+T0:2
5993044000000,OK obs=merge:P20+T0:2
5993062000000,OK obs=merge:P20+T0:2
5993130000000,OK obs=merge:P20+T0:2
5993130000000,OK obs=merge:P20+T0:2
5993147000000,OK obs=merge:P20+T0:2
5993198000000,OK obs=merge:P20+T0:2
5993215000000,OK obs=merge:P20+T0:2
5993249000000,OK obs=merge:P20+T0:2
5993283000000,OK obs=merge:P20+T0:2
5993334000000,OK obs=merge:P20+T0:2
5993368000000,OK obs=merge:P20+T0:2
5993419000000,OK obs=merge:P20+T0:2
5993436000000,OK obs=merge:P20+T0:2
5993453000000,OK obs=merge:P20+T0:2
5993485000000,OK obs=merge:P20+T0:2
5993536000000,OK obs=merge:P20+T0:2
5993573000000,OK obs=merge:P20+T0:2
5993624000000,OK obs=merge:P20+T0:2
5993641000000,OK obs=merge:P20+T0:2
5993658000000,OK obs=merge:P20+T0:2
5993709000000,OK obs=merge:P20+T0:2
5993726000000,OK obs=merge:P20+T0:2
5993777000000,OK obs=merge:P20+T0:2
5993794000000,OK obs=merge:P20+T0:2
5993845000000,OK obs=merge:P20+T0:2
5993863000000,OK obs=merge:P20+T0:2
5993897000000,OK obs=merge:P20+T0:2
5993931000000,OK obs=merge:P20+T0:2
5993948000000,OK obs=merge:P20+T0:2
5994000000000,OK obs=merge:P20+T0:2
5994017000000,OK obs=merge:P20+T0:2
5994051000000,OK obs=merge:P20+T0:2
5994085000000,OK obs=merge:P20+T0:2
5994136000000,OK obs=merge:P20+T0:2
5994136000000,OK obs=merge:P20+T0:2
5994204000000,OK obs=merge:P20+T0:2
5994221000000,OK obs=merge:P20+T0:2
5994255000000,OK obs=merge:P20+T0:2
5994289000000,OK obs=merge:P20+T0:2
5994340000000,OK obs=merge:P20+T0:2
5994365000000,OK obs=merge:P20+T0:2
5994399000000,OK obs=merge:P20+T0:2
5994433000000,OK obs=merge:P20+T0:2
5994450000000,OK obs=merge:P20+T0:2
5994501000000,OK obs=merge:P20+T0:2
5994535000000,OK obs=merge:P20+T0:2
5994552000000,OK obs=merge:P20+T0:2
5994603000000,OK obs=merge:P20+T0:2
5994637000000,OK obs=merge:P20+T0:2
5994654000000,OK obs=merge:P20+T0:2
5994688000000,OK obs=merge:P20+T0:2
5994739000000,OK obs=merge:P20+T0:2
5994756000000,OK obs=merge:P20+T0:2
5994794000000,OK obs=merge:P20+T0:2
5994828000000,OK obs=merge:P20+T0:2
5994896000000,OK obs=merge:P20+T0:2
5994913000000,OK obs=merge:P20+T0:2
5994947000000,OK obs=merge:P20+T0:2
5994965000000,OK obs=merge:P20+T0:2
5994999000000,OK obs=merge:P20+T0:2
5995016000000,OK obs=merge:P20+T0:2
5995053000000,OK obs=merge:P20+T0:2
5995089000000,OK obs=merge:P20+T0:2
5995123000000,OK obs=merge:P20+T0:2
5995157000000,OK obs=merge:P20+T0:2
5995225000000,OK obs=merge:P20+T0:2
5995259000000,OK obs=merge:P20+T0:2
5995276000000,OK obs=merge:P20+T0:2
5995310000000,OK obs=merge:P20+T0:2
5995356000000,OK obs=merge:P20+T0:2
5995356000000,OK obs=merge:P20+T0:2
5995441000000,OK obs=merge:P20+T0:2
5995441000000,OK obs=merge:P20+T0:2
5995463000000,OK obs=merge:P20+T0:2
5995480000000,OK obs=merge:P20+T0:2
5995548000000,OK obs=merge:P20+T0:2
5995548000000,OK obs=merge:P20+T0:2
5995581000000,OK obs=merge:P20+T0:2
5995649000000,OK obs=merge:P20+T0:2
5995656000000,OK obs=merge:P20+T0:2
5995724000000,OK obs=merge:P20+T0:2
5995741000000,OK obs=merge:P20+T0:2
5995775000000,OK obs=merge:P20+T0:2
5995792000000,OK obs=merge:P20+T0:2
5995826000000,OK obs=merge:P20+T0:2
5995858000000,OK obs=merge:P20+T0:2
5995909000000,OK obs=merge:P20+T0:2
5995926000000,OK obs=merge:P20+T0:2
5995960000000,OK obs=merge:P20+T0:2
5995994000000,OK obs=merge:P20+T0:2
5996028000000,OK obs=merge:P20+T0:2
5996062000000,OK obs=merge:P20+T0:2
5996113000000,OK obs=merge:P20+T0:2
5996113000000,OK obs=merge:P20+T0:2
5996181000000,OK obs=merge:P20+T0:2
5996198000000,OK obs=merge:P20+T0:2
5996232000000,OK obs=merge:P20+T0:2
5996249000000,OK obs=merge:P20+T0:2
5996346000000,OK obs=merge:P20+T0:2
5996346000000,OK obs=merge:P20+T0:2
5996361000000,OK obs=merge:P20+T0:2
5996395000000,OK obs=merge:P20+T0:2
5996446000000,OK obs=merge:P20+T0:2
5996463000000,OK obs=merge:P20+T0:2
5996480000000,OK obs=merge:P20+T0:2
5996548000000,OK obs=merge:P20+T0:2
5996565000000,OK obs=merge:P20+T0:2
5996616000000,OK obs=merge:P20+T0:2
5996633000000,OK obs=merge:P20+T0:2
5996650000000,OK obs=merge:P20+T0:2
5996718000000,OK obs=merge:P20+T0:2
5996718000000,OK obs=merge:P20+T0:2
5996752000000,OK obs=merge:P20+T0:2
5996805000000,OK obs=merge:P20+T0:2
5996822000000,OK obs=merge:P20+T0:2
5996873000000,OK obs=merge:P20+T0:2
5996924000000,OK obs=merge:P20+T0:2
5996941000000,OK obs=merge:P20+T0:2
5996941000000,OK obs=merge:P20+T0:2
5996992000000,OK obs=merge:P20+T0:2
5997009000000,OK obs=merge:P20+T0:2
5997043000000,OK obs=merge:P20+T0:2
5997094000000,OK obs=merge:P20+T0:2
5997128000000,OK obs=merge:P20+T0:2
5997145000000,OK obs=merge:P20+T0:2
5997213000000,OK obs=merge:P20+T0:2
5997230000000,OK obs=merge:P20+T0:2
5997267000000,OK obs=merge:P20+T0:2
5997267000000,OK obs=merge:P20+T0:2
5997335000000,OK obs=merge:P20+T0:2
5997369000000,OK obs=merge:P20+T0:2
5997403000000,OK obs=merge:P20+T0:2
5997437000000,OK obs=merge:P20+T0:2
5997471000000,OK obs=merge:P20+T0:2
5997505000000,OK obs=merge:P20+T0:2
5997539000000,OK obs=merge:P20+T0:2
5997573000000,OK obs=merge:P20+T0:2
5997607000000,OK obs=merge:P20+T0:2
5997641000000,OK obs=merge:P20+T0:2
5997658000000,OK obs=merge:P20+T0:2
5997692000000,OK obs=merge:P20+T0:2
5997726000000,OK obs=merge:P20+T0:2
5997743000000,OK obs=merge:P20+T0:2
5997794000000,OK obs=merge:P20+T0:2
5997828000000,OK obs=merge:P20+T0:2
5997845000000,OK obs=merge:P20+T0:2
5997896000000,OK obs=merge:P20+T0:2
5997930000000,OK obs=merge:P20+T0:2
5997947000000,OK obs=merge:P20+T0:2
5998015000000,OK obs=merge:P20+T0:2
5998032000000,OK obs=merge:P20+T0:2
5998105000000,OK obs=merge:P20+T0:2
5998139000000,OK obs=merge:P20+T0:2
5998139000000,OK obs=merge:P20+T0:2
5998156000000,OK obs=merge:P20+T0:2
5998190000000,OK obs=merge:P20+T0:2
5998241000000,OK obs=merge:P20+T0:2
5998241000000,OK obs=merge:P20+T0:2
5998275000000,OK obs=merge:P20+T0:2
5998326000000,OK obs=merge:P20+T0:2
5998360000000,OK obs=merge:P20+T0:2
5998377000000,OK obs=merge:P20+T0:2
5998411000000,OK obs=merge:P20+T0:2
5998445000000,OK obs=merge:P20+T0:2
5998496000000,OK obs=merge:P20+T0:2
5998547000000,OK obs=merge:P20+T0:2
5998547000000,OK obs=merge:P20+T0:2
5998564000000,OK obs=merge:P20+T0:2
5998615000000,OK obs=merge:P20+T0:2
5998649000000,OK obs=merge:P20+T0:2
5998680000000,OK obs=merge:P20+T0:2
5998731000000,OK obs=merge:P20+T0:2
5998765000000,OK obs=merge:P20+T0:2
5998782000000,OK obs=merge:P20+T0:2
5998833000000,OK obs=merge:P20+T0:2
5998867000000,OK obs=merge:P20+T0:2
5998901000000,OK obs=merge:P20+T0:2
5998935000000,OK obs=merge:P20+T0:2
5998993000000,OK obs=merge:P20+T0:2
5998993000000,OK obs=merge:P20+T0:2
5999010000000,OK obs=merge:P20+T0:2
5999044000000,OK obs=merge:P20+T0:2
5999095000000,OK obs=merge:P20+T0:2
5999112000000,OK obs=merge:P20+T0:2
5999163000000,OK obs=merge:P20+T0:2
5999214000000,OK obs=merge:P20+T0:2
5999248000000,OK obs=merge:P20+T0:2
5999265000000,OK obs=merge:P20+T0:2
5999299000000,OK obs=merge:P20+T0:2
5999333000000,OK obs=merge:P20+T0:2
5999368000000,OK obs=merge:P20+T0:2
5999385000000,OK obs=merge:P20+T0:2
5999453000000,OK obs=merge:P20+T0:2
5999471000000,OK obs=merge:P20+T0:2
5999505000000,OK obs=merge:P20+T0:2
5999522000000,OK obs=merge:P20+T0:2
5999539000000,OK obs=merge:P20+T0:2
5999590000000,OK obs=merge:P20+T0:2
5999641000000,OK obs=merge:P20+T0:2
5999658000000,OK obs=merge:P20+T0:2
5999692000000,OK obs=merge:P20+T0:2
5999743000000,OK obs=merge:P20+T0:2
5999743000000,OK obs=merge:P20+T0:2
5999777000000,OK obs=merge:P20+T0:2
5999828000000,OK obs=merge:P20+T0:2
5999845000000,OK obs=merge:P20+T0:2
5999896000000,OK obs=merge:P20+T0:2
5999930000000,OK obs=merge:P20+T0:2
5999981000000,OK obs=merge:P20+T0:2
6000015000000,OK obs=merge:P20+T0:2
6000049000000,OK obs=merge:P20+T0:2
6000049000000,OK obs=merge:P20+T0:2
6000134000000,OK obs=merge:P20+T0:2
6000134000000,OK obs=merge:P20+T0:2
6000168000000,OK obs=merge:P20+T0:2
6000202000000,OK obs=merge:P20+T0:2
6000253000000,OK obs=merge:P20+T0:2
6000253000000,OK obs=merge:P20+T0:2
6000275000000,OK obs=merge:P20+T0:2
6000309000000,OK obs=merge:P20+T0:2
6000360000000,OK obs=merge:P20+T0:2
6000394000000,OK obs=merge:P20+T0:2
6000428000000,OK obs=merge:P20+T0:2
6000445000000,OK obs=merge:P20+T0:2
6000479000000,OK obs=merge:P20+T0:2
6000513000000,OK obs=merge:P20+T0:2
6000581000000,OK obs=merge:P20+T0:2
6000598000000,OK obs=merge:P20+T0:2
6000632000000,OK obs=merge:P20+T0:2
6000649000000,OK obs=merge:P20+T0:2
6000700000000,OK obs=merge:P20+T0:2
6000751000000,OK obs=merge:P20+T0:2
6000768000000,OK obs=merge:P20+T0:2
6000802000000,OK obs=merge:P20+T0:2
6000836000000,OK obs=merge:P20+T0:2
6000853000000,OK obs=merge:P20+T0:2
6000956000000,OK obs=merge:P20+T0:2
6000973000000,OK obs=merge:P20+T0:2
6000990000000,OK obs=merge:P20+T0:2
6001024000000,OK obs=merge:P20+T0:1
6001041000000,OK obs=merge:P20+T0:2
6001041000000,OK obs=merge:P20+T0:1
6001099000000,OK obs=merge:P20+T0:1
6001099000000,OK obs=merge:P20+T0:1
6001150000000,OK obs=merge:P20+T0:1
6001220000000,OK obs=merge:P20+T0:1
6001220000000,OK obs=merge:P20+T0:1
6001254000000,OK obs=merge:P20+T0:1
6001322000000,OK obs=merge:P20+T0:1
6001339000000,OK obs=merge:P20+T0:1
6001373000000,OK obs=empty
6001424000000,OK obs=empty
6001441000000,OK obs=empty
