%time,field.data
5980151000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 7.0, "rc_age_ms": 7.0, "n_wpnts": 80}
5980168000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5980185000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980185000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980219000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980219000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980219000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980236000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5980253000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980270000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5980270000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5980287000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 68.0, "rc_age_ms": 68.0, "n_wpnts": 80}
5980304000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 85.0, "rc_age_ms": 85.0, "n_wpnts": 80}
5980321000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5980321000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5980338000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980355000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5980372000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980372000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
5980389000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 17.0, "rc_age_ms": 17.0, "n_wpnts": 80}
5980406000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 34.0, "rc_age_ms": 34.0, "n_wpnts": 80}
